,Sign.01,Sign.02,Sign.03,Sign.04,Sign.05
SBS1,0.331894725390208,0.737187364970033,0.565188510258814,0.73749175377249,0.47101053517464
SBS2,0.879395700424155,0.844002368399877,0.826653622430677,0.79629158741509,0.669403032603086
SBS3,0.496145006406886,0.262783375560525,0.411424141254536,0.280318653555557,0.367401445842416
SBS4,0.781926046966609,0.641915338137849,0.78077138611746,0.120301904940215,0.757078742642167
SBS5,0.280813346335831,0.211534099317486,0.283201595930806,0.385260521738593,0.12252266726522
SBS6,0.249683962292457,0.443436784246287,0.525730836731188,0.63099858610275,0.41397988972314
SBS7a,0.742259160357795,0.705294071654926,0.757920749042546,0.736478940197295,0.620327603985817
SBS7b,0.601355041392921,0.575764768252802,0.660454755450856,0.676263512239042,0.592168313447948
SBS7c,0.887768193552918,0.711743704333969,0.836043561578168,0.85417640323641,0.788588779722358
SBS7d,0.806052367187089,0.777290155745317,0.764232148875846,0.851019381918624,0.710454261559283
SBS8,0.786002157243119,0.577360254952175,0.729270913296066,0.296231734631105,0.716443735324841
SBS9,0.654250041299399,0.56470583471731,0.568900156198689,0.663799206406001,0.528538815309578
SBS10a,0.957054136969463,0.930928877357363,0.955490169337325,0.747095262708844,0.925775866068063
SBS10b,0.749608833262657,0.844425050450994,0.781928303238757,0.799967444543816,0.685235075791755
SBS10c,0.747425821385327,0.686525923083776,0.739421959873479,0.525427883608117,0.679573910333426
SBS10d,0.938045499885875,0.898142853477363,0.928028051220381,0.638965745330859,0.888816684102745
SBS11,0.622988525554799,0.50620227256889,0.661492428604057,0.719159021043618,0.604634426613915
SBS12,0.574949042455558,0.522194260604027,0.477163594915185,0.748790134322353,0.431310725263339
SBS13,0.955366267509031,0.92336962619672,0.912066817372336,0.781601514186667,0.722835500343599
SBS14,0.847191363136669,0.783031056438477,0.867614518992397,0.526941425326305,0.829885002651755
SBS15,0.427265957589941,0.5200316732081,0.652764205977637,0.610864937686496,0.59353841891118
SBS16,0.740403115219534,0.741311016126774,0.640293405303958,0.744700997578509,0.51820029968746
SBS17a,0.79825066762404,0.704862047320451,0.66986228338116,0.901030311796358,0.796284357715828
SBS17b,0.953071230009524,0.951565205541239,0.925458822278969,0.968085151537399,0.934358038086004
SBS18,0.764102491584316,0.74069951004741,0.771482561007742,0.263033261530597,0.734537215443835
SBS19,0.610419138211685,0.535553005116418,0.673469968196827,0.706328538158218,0.577609778995243
SBS20,0.710432709064108,0.587016035237804,0.777095894053019,0.461427887924336,0.723503681439821
SBS21,0.703999599806205,0.675985587584317,0.731289060205458,0.821669422896564,0.672717712295672
SBS22a,0.939665066541518,0.693512975858527,0.914280042635415,0.86295975877298,0.884552685500849
SBS22b,0.869670441614806,0.701388257583325,0.816084733971681,0.784024399309915,0.750327893963792
SBS23,0.559480683836861,0.424178694297753,0.68406892957791,0.707338181853457,0.614768149356516
SBS24,0.700302916446912,0.626465375328228,0.753175957775808,0.296719414871413,0.730056834170469
SBS25,0.518909295213591,0.325863396382888,0.495828866312423,0.456893608325936,0.407853113339909
SBS26,0.490556582278685,0.482643443740909,0.471894598210228,0.735174507756897,0.413068820585724
SBS27,0.904798350675283,0.865552059850405,0.893815004179965,0.872523816358426,0.878802589654686
SBS28,0.943329462784532,0.929759826768631,0.900765974168975,0.930896288104874,0.896506154361504
SBS29,0.737558974719143,0.744107165361852,0.777249600208409,0.216104934024549,0.75242696003966
SBS30,0.544863870897943,0.430549454205775,0.643876498356446,0.66333031329921,0.498408384730592
SBS31,0.572103996140565,0.480310866079738,0.619461687422438,0.576289433239303,0.563300274083469
SBS32,0.546570210297748,0.498114339622028,0.591733601926444,0.663229622362385,0.48899084747123
SBS33,0.656507943025022,0.634939271384666,0.720414306780377,0.793932804251414,0.668279238866372
SBS34,0.947310282918501,0.847283502032656,0.92656733428805,0.902669682780111,0.887981464653284
SBS35,0.729310232610362,0.524242864863964,0.762873945669684,0.401690436272461,0.723747680787657
SBS36,0.876909576434384,0.832353712338418,0.8729691052718,0.396711958931428,0.8257276980254
SBS37,0.626527630771979,0.588779463745385,0.473615730296056,0.748569457017322,0.44484834583351
SBS38,0.914988475714138,0.862932664214542,0.922663854249497,0.423318565286134,0.911022301376357
SBS39,0.622359352710481,0.510703394737579,0.556329528001841,0.533982947039238,0.475071257201498
SBS40a,0.460116949452087,0.311213631996884,0.459141013233569,0.280356946522638,0.300650730170235
SBS40b,0.609653088973677,0.450208045105125,0.536964130990576,0.497409403713615,0.403283394790183
SBS40c,0.342931375659886,0.169189500051429,0.328814945423452,0.382104577982817,0.203299543058008
SBS41,0.73037453579732,0.600103853083159,0.669391883667479,0.724481027653631,0.543490632064558
SBS42,0.599037189141071,0.361592057484335,0.696219680881401,0.508347614406313,0.624856077533424
SBS43,0.888306759767338,0.838257517844383,0.391260970677011,0.88015048877896,0.881028961855549
SBS44,0.476036038119056,0.320465303363598,0.604673414885039,0.554862721576826,0.491999592108307
SBS45,0.915137848397045,0.849351941059987,0.929271745284134,0.314700036312642,0.911337110618276
SBS46,0.497107282617446,0.408806339153954,0.407702207144656,0.647623974197462,0.446738875694631
SBS47,0.871960446751643,0.801675722766179,0.722483496298909,0.677486663004213,0.761142083781821
SBS48,0.983325706608298,0.975255954148872,0.990399575256944,0.896165367824154,0.957321178057399
SBS49,0.947195750963793,0.928063098957821,0.974609742804139,0.653526659497355,0.946686909969926
SBS50,0.757902587192415,0.742414432980819,0.610416195372311,0.511008174859173,0.685868045933697
SBS51,0.784033570965417,0.70776197200201,0.463608101930751,0.59555781528251,0.70787676673749
SBS52,0.955321813898533,0.934689564061191,0.946467291117146,0.662284360874152,0.912324749378573
SBS53,0.843462200551701,0.816848298557604,0.86219770234429,0.526878882539138,0.842684636008999
SBS54,0.44204112278928,0.498806410060363,0.578150144854583,0.728018887430975,0.511068242036672
SBS55,0.90329307113918,0.886424723905742,0.500108727788858,0.885942787643106,0.877791962424846
SBS56,0.944380466658898,0.906820251621534,0.935726092514125,0.649343544086646,0.896390346215342
SBS57,0.710196899364495,0.620916382611598,0.638372259778886,0.723469102138518,0.557146329452179
SBS58,0.687589442815985,0.634515665112168,0.496978800309717,0.593138183757636,0.476346232338256
SBS59,0.934904023632904,0.905220599600375,0.936773920168501,0.757009581245899,0.932624106277999
SBS60,0.976995933457367,0.974343347057223,0.519658464697907,0.96120621954682,0.970249996433707
SBS84,0.636809452690721,0.432899127762574,0.709164379230225,0.742836016762904,0.643220665373168
SBS85,0.818340222988394,0.678285778832822,0.685341335472932,0.787841372167626,0.627453259452571
SBS86,0.757109948167571,0.716292403809999,0.749706385266564,0.713685316327364,0.626812753522891
SBS87,0.330622946548209,0.661071408219369,0.510291115571728,0.627214678941342,0.404337709126396
SBS88,0.805813751156154,0.752563952220294,0.696644377866403,0.840019399463988,0.612601743798119
SBS89,0.602741198512732,0.423211921427926,0.422877159694187,0.368276208048153,0.450919219809843
SBS90,0.977637868618843,0.855249319868258,0.949764112286871,0.91440292231344,0.91158180935096
SBS91,0.949532301323816,0.924795818436128,0.957080295712542,0.728702998030801,0.897019203813417
SBS92,0.436607913551293,0.369662128009114,0.425620202456903,0.419748246377269,0.237740660885624
SBS93,0.670940190551397,0.568472631293788,0.593187235998052,0.652120490916642,0.49200205434127
SBS94,0.530627768096878,0.457068952610665,0.552998068350972,0.129056227468843,0.495112756615567
SBS95,0.695366352534789,0.565767004112907,0.731363625503599,0.148477557744158,0.691174824775761
SBS96,0.578240750983439,0.432802243387004,0.381013447493524,0.629275103196762,0.454468105056178
SBS97,0.689926622382008,0.6577537259849,0.7735846103812,0.741945383170358,0.679432917513853
