Samples,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
CRUK0001_SU_T1-R1,122,21,0,28,0,323,45,0,0,21,0,0,2,0,0,0,0,132,0,0,0,62,41,0,0,116,10,0,0,0,0,10,0,60,0,7,0,0,149,96,19,0,0,0,0,0,323,0,0,0,0,0,188,0,0,227,0,0,0,0,0,0,0,325,1,0,1,0,3,1,0,0,0,283,25,0,0,0,0,0,16,0,0,0,3,0
CRUK0001_SU_T1-R2,209,0,0,0,0,276,55,16,0,0,0,0,0,0,0,0,67,0,11,0,0,0,0,6,0,4,0,0,0,0,0,43,0,146,0,0,0,0,246,213,0,0,15,0,30,0,199,0,0,0,0,0,137,0,0,230,0,4,0,11,0,0,30,370,0,0,0,0,0,0,0,0,45,396,71,0,0,0,0,0,0,0,0,40,0,0
CRUK0001_SU_T1-R3,232,122,-235,0,0,1492,102,316,0,0,0,0,0,85,0,0,0,0,62,0,0,0,0,1,0,0,0,128,0,0,0,204,0,206,0,0,0,0,555,387,85,0,0,0,109,0,1190,0,0,0,0,0,191,0,0,685,0,15,0,124,0,0,41,1338,0,0,0,29,21,0,0,0,5,818,232,38,0,0,0,0,347,0,0,231,-98,0
CRUK0002_SU_T1-R1,83,26,0,32,0,506,0,228,0,0,0,0,0,9,0,0,0,0,0,0,170,0,34,12,0,29,0,52,7,0,0,135,0,149,0,5,0,0,211,148,0,0,0,0,121,0,286,0,0,0,0,0,78,0,0,314,0,5,0,219,100,0,0,681,11,0,0,201,0,0,0,0,105,762,71,0,0,0,0,0,110,0,0,83,0,0
CRUK0002_SU_T1-R2,128,0,0,0,0,616,73,206,0,0,0,0,0,0,0,0,0,0,28,0,97,0,0,21,0,9,0,91,0,0,0,164,0,0,0,0,0,0,343,200,0,0,0,0,69,0,279,0,0,0,0,0,67,0,0,478,0,0,3,110,144,0,0,721,0,0,0,251,0,0,0,0,87,638,108,0,0,0,0,0,38,0,0,56,0,0
CRUK0002_SU_T1-R3,40,19,0,0,0,70,0,3,0,0,0,0,0,14,0,0,10,141,16,0,0,14,25,0,0,22,0,15,0,0,9,0,0,0,0,7,0,0,70,58,0,0,0,0,18,0,114,0,0,0,0,0,59,0,0,12,0,0,0,0,21,0,0,92,4,0,0,76,0,32,0,0,30,63,0,0,0,0,0,0,0,0,0,0,5,0
CRUK0003_SU_T1-R1,717,81,0,-239,1311,1630,-5,410,0,0,0,0,0,107,0,0,0,20,26,0,0,5,0,19,0,0,0,181,0,0,0,333,0,0,0,0,0,0,729,624,15,0,0,0,593,0,1271,0,0,0,0,0,154,0,0,833,0,6,0,75,0,0,-5,1795,0,0,0,0,-1,0,0,0,42,1194,139,0,0,0,0,0,399,0,0,158,0,0
CRUK0003_SU_T1-R2,147,0,0,0,0,206,40,66,0,0,0,0,0,47,0,0,0,203,0,0,0,107,23,1,0,5,15,0,0,0,0,17,0,0,0,5,0,0,79,233,23,0,0,0,11,0,239,0,0,0,0,0,178,0,0,175,0,4,0,0,-1,0,0,271,0,0,17,0,8,39,0,0,0,145,0,0,0,0,14,0,0,0,154,36,53,0
CRUK0003_SU_T1-R3,350,112,0,25,0,1686,0,612,0,0,0,0,0,47,0,0,25,357,24,0,0,6,0,23,0,10,0,0,0,0,0,298,0,576,0,12,0,0,464,592,84,0,0,0,0,0,1175,0,0,0,0,0,690,0,0,944,0,0,16,0,111,0,0,1563,0,0,0,0,0,0,0,0,153,1052,116,0,0,0,0,0,368,0,220,110,129,0
CRUK0003_SU_T1-R4,465,137,0,374,0,2122,0,472,0,0,0,0,0,69,0,0,0,373,58,0,21,3,0,46,0,0,0,53,0,0,0,208,0,199,0,0,0,0,848,751,56,12,0,0,536,0,1521,0,0,0,94,0,292,0,0,995,0,0,0,98,0,0,24,2013,0,0,0,124,0,0,0,0,103,1239,232,0,0,0,0,-147,178,0,40,221,-29,0
