Sample,Top_Features,Top_Values
CRUK0001_SU_T1-R1,"SBS54, SBS6, SBS39, SBS87, SBS46","1.0, 0.9938, 0.9938, 0.8708, 0.6985"
CRUK0001_SU_T1-R2,"SBS87, SBS54, SBS6, SBS31, SBS46","1.0, 0.9343, 0.697, 0.6212, 0.5808"
CRUK0001_SU_T1-R3,"SBS6, SBS54, SBS39, SBS87, SBS46","1.0, 0.9108, 0.8251, 0.6097, 0.5327"
CRUK0002_SU_T1-R1,"SBS87, SBS54, SBS6, SBS46, SBS39","1.0, 0.8937, 0.664, 0.4121, 0.3753"
CRUK0002_SU_T1-R2,"SBS54, SBS87, SBS6, SBS46, SBS31","1.0, 0.8849, 0.8544, 0.663, 0.4757"
CRUK0002_SU_T1-R3,"SBS12, SBS39, SBS54, SBS58, SBS6","1.0, 0.8085, 0.6525, 0.539, 0.4965"
CRUK0003_SU_T1-R1,"SBS54, SBS6, SBS5, SBS39, SBS87","1.0, 0.9189, 0.762, 0.7424, 0.7045"
CRUK0003_SU_T1-R2,"SBS54, SBS39, SBS32, SBS6, SBS12","1.0, 0.8824, 0.8603, 0.761, 0.75"
CRUK0003_SU_T1-R3,"SBS6, SBS54, SBS39, SBS87, SBS46","1.0, 0.927, 0.6969, 0.624, 0.5599"
CRUK0003_SU_T1-R4,"SBS6, SBS54, SBS39, SBS87, SBS46","1.0, 0.952, 0.7351, 0.6108, 0.5033"
CRUK0003_SU_T1-R6,"SBS6, SBS54, SBS39, SBS7b, SBS46","1.0, 0.9497, 0.9138, 0.7898, 0.709"
CRUK0004_SU_T1-R1,"SBS6, SBS39, SBS54, SBS87, SBS46","1.0, 0.8371, 0.787, 0.5282, 0.4845"
CRUK0004_SU_T1-R2,"SBS6, SBS54, SBS87, SBS39, SBS46","1.0, 0.8772, 0.702, 0.6049, 0.4531"
CRUK0004_SU_T1-R3,"SBS6, SBS26, SBS39, SBS54, SBS31","1.0, 0.896, 0.8668, 0.8599, 0.8476"
CRUK0004_SU_T1-R4,"SBS6, SBS54, SBS46, SBS87, SBS31","1.0, 0.9016, 0.6772, 0.6273, 0.622"
CRUK0005_SU_T1-R1,"SBS6, SBS54, SBS39, SBS87, SBS31","1.0, 0.9664, 0.7299, 0.5856, 0.5028"
CRUK0005_SU_T1-R2,"SBS6, SBS54, SBS39, SBS87, SBS31","1.0, 0.9295, 0.7134, 0.6031, 0.4855"
CRUK0005_SU_T1-R3,"SBS6, SBS54, SBS87, SBS39, SBS4","1.0, 0.9329, 0.6326, 0.5023, 0.4963"
CRUK0005_SU_T1-R4,"SBS54, SBS6, SBS87, SBS39, SBS46","1.0, 0.9219, 0.6604, 0.6425, 0.4325"
CRUK0006_SU_T1-R1,"SBS6, SBS54, SBS87, SBS46, SBS31","1.0, 0.8802, 0.7473, 0.5186, 0.4587"
CRUK0006_SU_T1-R2,"SBS6, SBS54, SBS39, SBS46, SBS87","1.0, 0.8319, 0.6971, 0.6362, 0.4493"
CRUK0007_SU_T1-R1,"SBS54, SBS6, SBS5, SBS39, SBS46","1.0, 0.9376, 0.8925, 0.5457, 0.5026"
CRUK0007_SU_T1-R2,"SBS6, SBS54, SBS39, SBS46, SBS5","1.0, 0.9352, 0.651, 0.4574, 0.4511"
CRUK0008_SU_T1-R1,"SBS54, SBS5, SBS39, SBS6, SBS87","1.0, 0.8733, 0.8544, 0.7655, 0.6846"
CRUK0008_SU_T1-R2,"SBS6, SBS54, SBS5, SBS39, SBS31","1.0, 0.8544, 0.6982, 0.5754, 0.5596"
CRUK0009_SU_T1-R1,"SBS54, SBS87, SBS5, SBS6, SBS46","1.0, 0.8829, 0.7641, 0.7533, 0.6179"
CRUK0009_SU_T1-R2,"SBS5, SBS87, SBS54, SBS6, SBS31","1.0, 0.7441, 0.6527, 0.6452, 0.5022"
