Sample,Top_Features,Top_Values
CRUK0001_SU_T1-R1,"SBS5, SBS46, SBS87, SBS6, SBS54","1.0, 0.47, 0.31, 0.29, 0.29"
CRUK0001_SU_T1-R2,"SBS5, SBS87, SBS31, SBS46, SBS54","1.0, 0.42, 0.33, 0.32, 0.31"
CRUK0001_SU_T1-R3,"SBS5, SBS6, SBS39, SBS54, SBS46","1.0, 0.49, 0.49, 0.44, 0.37"
CRUK0002_SU_T1-R1,"SBS5, SBS87, SBS6, SBS54, SBS46","1.0, 0.54, 0.47, 0.42, 0.39"
CRUK0002_SU_T1-R2,"SBS5, SBS6, SBS87, SBS46, SBS54","1.0, 0.34, 0.34, 0.32, 0.29"
CRUK0002_SU_T1-R3,"SBS5, SBS39, SBS12, SBS1, SBS58","1.0, 0.23, 0.22, 0.18, 0.18"
CRUK0003_SU_T1-R1,"SBS5, SBS54, SBS87, SBS6, SBS1","1.0, 0.19, 0.18, 0.17, 0.12"
CRUK0003_SU_T1-R2,"SBS5, SBS1, SBS43, SBS46, SBS54","1.0, 0.22, 0.19, 0.17, 0.16"
CRUK0003_SU_T1-R3,"SBS5, SBS46, SBS6, SBS54, SBS39","1.0, 0.55, 0.5, 0.48, 0.45"
CRUK0003_SU_T1-R4,"SBS5, SBS6, SBS54, SBS46, SBS31","1.0, 0.44, 0.39, 0.34, 0.31"
CRUK0003_SU_T1-R6,"SBS5, SBS46, SBS39, SBS6, SBS54","1.0, 0.54, 0.53, 0.47, 0.45"
CRUK0004_SU_T1-R1,"SBS5, SBS6, SBS39, SBS54, SBS46","1.0, 0.41, 0.37, 0.33, 0.31"
CRUK0004_SU_T1-R2,"SBS5, SBS6, SBS46, SBS54, SBS39","1.0, 0.51, 0.44, 0.42, 0.41"
CRUK0004_SU_T1-R3,"SBS5, SBS6, SBS39, SBS31, SBS54","1.0, 0.47, 0.44, 0.39, 0.38"
CRUK0004_SU_T1-R4,"SBS5, SBS6, SBS31, SBS46, SBS54","1.0, 0.42, 0.4, 0.33, 0.33"
CRUK0005_SU_T1-R1,"SBS5, SBS6, SBS54, SBS46, SBS39","1.0, 0.34, 0.3, 0.28, 0.26"
CRUK0005_SU_T1-R2,"SBS5, SBS4, SBS54, SBS6, SBS37","1.0, 0.43, 0.42, 0.4, 0.31"
CRUK0005_SU_T1-R3,"SBS5, SBS4, SBS6, SBS54, SBS46","1.0, 0.34, 0.34, 0.32, 0.25"
CRUK0005_SU_T1-R4,"SBS5, SBS54, SBS6, SBS4, SBS87","1.0, 0.26, 0.21, 0.2, 0.2"
CRUK0006_SU_T1-R1,"SBS39, SBS5, SBS6, SBS54, SBS46","1.0, 0.94, 0.81, 0.62, 0.58"
CRUK0006_SU_T1-R2,"SBS5, SBS39, SBS6, SBS46, SBS54","1.0, 0.89, 0.6, 0.5, 0.44"
CRUK0007_SU_T1-R1,"SBS5, SBS1, SBS54, SBS23, SBS2","1.0, 0.27, 0.21, 0.14, 0.0"
CRUK0007_SU_T1-R2,"SBS5, SBS3, SBS54, SBS6, SBS87","1.0, 0.93, 0.59, 0.52, 0.25"
CRUK0008_SU_T1-R1,"SBS5, SBS87, SBS54, SBS6, SBS1","1.0, 0.15, 0.14, 0.1, 0.06"
CRUK0008_SU_T1-R2,"SBS5, SBS1, SBS2, SBS3, SBS4","1.0, 0.14, 0.0, 0.0, 0.0"
