Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22a	SBS22b	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95	SBS96	SBS97	SBS98	SBS99
CRUK0001_SU_T1-R1	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	320	0	0	0	0	0	186	0	0	225	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0001_SU_T1-R2	206	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	243	210	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0001_SU_T1-R3	0	0	0	0	0	1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	0	0	0	0	1031	0	0	0	0	0	0	0	0	685	0	0	0	0	0	0	0	1332	0	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0002_SU_T1-R1	0	0	0	0	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0002_SU_T1-R2	0	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	0	630	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0002_SU_T1-R3	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	57	0	0	0	0	0	0	112	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	91	0	0	0	75	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0003_SU_T1-R1	708	0	0	0	987	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727	672	0	0	0	0	0	0	1318	0	0	0	0	0	0	0	0	845	0	0	0	0	0	0	0	1815	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0003_SU_T1-R2	146	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	237	0	0	0	0	0	176	0	0	173	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	152	0	0	0
CRUK0003_SU_T1-R3	0	0	0	0	0	1684	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1174	0	0	0	0	0	689	0	0	943	0	0	0	0	0	0	0	1561	0	0	0	0	0	0	0	0	0	1051	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0003_SU_T1-R4	0	0	0	0	0	2142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847	747	0	0	0	0	0	0	1505	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	1209	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0003_SU_T1-R6	0	0	0	0	0	1359	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	1262	0	0	0	0	0	593	0	0	883	0	0	0	0	0	0	0	1349	0	0	0	0	0	0	0	0	0	928	0	0	0	0	0	0	527	0	0	0	0	0
CRUK0004_SU_T1-R1	0	0	0	0	0	1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	1131	0	0	0	0	0	0	0	0	648	0	0	0	0	0	0	0	1078	0	0	0	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0004_SU_T1-R2	0	0	0	0	0	806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	503	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0004_SU_T1-R3	0	0	624	0	0	1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	680	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0
CRUK0004_SU_T1-R4	0	0	389	0	0	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	515	0	0	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0
