Sample,Top_Features,Top_Values
CRUK0001_SU_T1-R1,"SBS54, SBS6, SBS39, SBS87, SBS46","1.0, 0.9938, 0.9938, 0.8696, 0.6988"
CRUK0001_SU_T1-R2,"SBS87, SBS54, SBS6, SBS31, SBS46","1.0, 0.9335, 0.6957, 0.6215, 0.5806"
CRUK0001_SU_T1-R3,"SBS6, SBS54, SBS39, SBS87, SBS46","1.0, 0.9037, 0.6995, 0.5102, 0.4647"
CRUK0002_SU_T1-R1,"SBS87, SBS54, SBS6, SBS46, SBS39","1.0, 0.8931, 0.6636, 0.4129, 0.3747"
CRUK0002_SU_T1-R2,"SBS54, SBS87, SBS6, SBS46, SBS31","1.0, 0.8848, 0.8553, 0.6629, 0.4747"
CRUK0002_SU_T1-R3,"SBS12, SBS39, SBS54, SBS58, SBS6","1.0, 0.8058, 0.6547, 0.5396, 0.4964"
CRUK0003_SU_T1-R1,"SBS54, SBS6, SBS39, SBS87, SBS5","1.0, 0.9328, 0.7262, 0.6612, 0.5438"
CRUK0003_SU_T1-R2,"SBS54, SBS39, SBS32, SBS6, SBS12","1.0, 0.8843, 0.8619, 0.7612, 0.75"
CRUK0003_SU_T1-R3,"SBS6, SBS54, SBS39, SBS87, SBS46","1.0, 0.927, 0.6971, 0.6241, 0.56"
CRUK0003_SU_T1-R4,"SBS6, SBS54, SBS39, SBS87, SBS46","1.0, 0.9458, 0.7026, 0.5644, 0.4827"
CRUK0003_SU_T1-R6,"SBS6, SBS54, SBS39, SBS87, SBS46","1.0, 0.9926, 0.9286, 0.6829, 0.6497"
CRUK0004_SU_T1-R1,"SBS6, SBS39, SBS54, SBS87, SBS46","1.0, 0.8202, 0.7817, 0.5156, 0.4699"
CRUK0004_SU_T1-R2,"SBS6, SBS54, SBS87, SBS39, SBS46","1.0, 0.8995, 0.6861, 0.6241, 0.4454"
