File,PatientID,LineCount,Weight
CRUK0001_SU_T1-R1,CRUK0001,2633,0.18152361254739746
CRUK0001_SU_T1-R2,CRUK0001,2830,0.19510513615994485
CRUK0001_SU_T1-R3,CRUK0001,9042,0.6233712512926577
CRUK0002_SU_T1-R1,CRUK0002,4957,0.45203355827101954
CRUK0002_SU_T1-R2,CRUK0002,4966,0.4528542768557359
CRUK0002_SU_T1-R3,CRUK0002,1043,0.09511216487324457
CRUK0003_SU_T1-R1,CRUK0003,12639,0.24669165007612132
CRUK0003_SU_T1-R2,CRUK0003,2535,0.04947886169340672
CRUK0003_SU_T1-R3,CRUK0003,11936,0.2329702931646953
CRUK0003_SU_T1-R4,CRUK0003,13844,0.27021118788304643
CRUK0003_SU_T1-R6,CRUK0003,10280,0.2006480071827302
CRUK0004_SU_T1-R1,CRUK0004,8439,0.30739809856846245
CRUK0004_SU_T1-R2,CRUK0004,5652,0.20587913889192438
CRUK0004_SU_T1-R3,CRUK0004,8288,0.30189778894838454
CRUK0004_SU_T1-R4,CRUK0004,5074,0.18482497359122865
CRUK0005_SU_T1-R1,CRUK0005,11092,0.2919715714661753
CRUK0005_SU_T1-R2,CRUK0005,7740,0.20373782574361674
CRUK0005_SU_T1-R3,CRUK0005,9849,0.25925243485127664
CRUK0005_SU_T1-R4,CRUK0005,9309,0.2450381679389313
CRUK0006_SU_T1-R1,CRUK0006,5215,0.5350364214630142
CRUK0006_SU_T1-R2,CRUK0006,4532,0.4649635785369857
CRUK0007_SU_T1-R1,CRUK0007,10397,0.41002484521039556
CRUK0007_SU_T1-R2,CRUK0007,14960,0.5899751547896045
CRUK0008_SU_T1-R1,CRUK0008,2941,0.4058791057134971
CRUK0008_SU_T1-R2,CRUK0008,4305,0.5941208942865029
CRUK0009_SU_T1-R1,CRUK0009,8048,0.24097972871814835
CRUK0009_SU_T1-R2,CRUK0009,4523,0.135431326167021
CRUK0009_SU_T1-R3,CRUK0009,7637,0.2286732341228254
CRUK0009_SU_T1-R4,CRUK0009,13189,0.3949157109920053
CRUK0010_SU_T1-R1,CRUK0010,7850,0.5745864441516615
CRUK0010_SU_T1-R2,CRUK0010,5812,0.42541355584833845
CRUK0011_SU_T1-R1,CRUK0011,8374,0.35052323147760567
CRUK0011_SU_T1-R2,CRUK0011,9184,0.3844286312264546
CRUK0011_SU_T1-R3,CRUK0011,6332,0.26504813729593973
CRUK0012_SU_T1-R1,CRUK0012,5358,0.45912596401028277
CRUK0012_SU_T1-R2,CRUK0012,6312,0.5408740359897172
CRUK0013_SU_T1-R1,CRUK0013,3839,0.258153453029386
CRUK0013_SU_T1-R2,CRUK0013,3504,0.23562638692757717
CRUK0013_SU_T1-R3,CRUK0013,7528,0.5062201600430368
CRUK0014_SU_T1-R1,CRUK0014,6488,0.760698792355493
CRUK0014_SU_T1-R2,CRUK0014,2041,0.23930120764450696
CRUK0015_SU_T1-R1,CRUK0015,5435,0.49508107123337586
CRUK0015_SU_T1-R2,CRUK0015,5543,0.5049189287666241
CRUK0016_SU_T1-R1,CRUK0016,11112,0.5796859512754969
CRUK0016_SU_T1-R2,CRUK0016,8057,0.4203140487245031
CRUK0017_SU_T1-R1,CRUK0017,7435,0.24180434499804865
CRUK0017_SU_T1-R2,CRUK0017,4650,0.1512293482502927
CRUK0017_SU_T1-R3,CRUK0017,10439,0.33950175621178613
CRUK0017_SU_T1-R4,CRUK0017,8224,0.2674645505398725
CRUK0018_SU_T1-R1,CRUK0018,8224,0.3078766097634022
CRUK0018_SU_T1-R2,CRUK0018,5230,0.19579215333932315
CRUK0018_SU_T1-R3,CRUK0018,6726,0.2517969451931716
CRUK0018_SU_T1-R4,CRUK0018,6532,0.244534291704103
CRUK0019_SU_T1-R1,CRUK0019,6230,0.5040045303778011
CRUK0019_SU_T1-R2,CRUK0019,6131,0.49599546962219887
CRUK0020_SU_T1-R1,CRUK0020,9121,0.6993559270050606
CRUK0020_SU_T1-R2,CRUK0020,3921,0.30064407299493945
CRUK0021_SU_T1-R1,CRUK0021,1347,0.32002851033499646
CRUK0021_SU_T1-R2,CRUK0021,2862,0.6799714896650035
CRUK0022_SU_T1-R1,CRUK0022,4342,0.45229166666666665
CRUK0022_SU_T1-R2,CRUK0022,5258,0.5477083333333334
CRUK0023_SU_T1-R1,CRUK0023,9516,0.34872471416007034
CRUK0023_SU_T1-R2,CRUK0023,3005,0.11012166520082087
CRUK0023_SU_T1-R3,CRUK0023,8243,0.3020741717971269
CRUK0023_SU_T1-R4,CRUK0023,6524,0.23907944884198182
CRUK0024_SU_T1-R1,CRUK0024,9229,0.236634958077998
CRUK0024_SU_T1-R2,CRUK0024,3884,0.09958719007204943
CRUK0024_SU_T1-R3,CRUK0024,9490,0.24332709417707238
CRUK0024_SU_T1-R4,CRUK0024,8272,0.21209712571472528
CRUK0024_SU_T1-R6,CRUK0024,8126,0.20835363195815493
CRUK0025_SU_T1-R1,CRUK0025,7287,0.34257909830285366
CRUK0025_SU_T1-R2,CRUK0025,10668,0.5015279018381834
CRUK0025_SU_T1-R3,CRUK0025,3316,0.1558929998589629
CRUK0026_SU_T1-R1,CRUK0026,7214,0.5700964122016754
CRUK0026_SU_T1-R2,CRUK0026,5440,0.42990358779832466
CRUK0027_SU_T1-R1,CRUK0027,1128,0.1558872305140962
CRUK0027_SU_T1-R2,CRUK0027,3552,0.49087893864013266
CRUK0027_SU_T1-R3,CRUK0027,2556,0.35323383084577115
CRUK0028_SU_T1-R1,CRUK0028,4306,0.409510223490252
CRUK0028_SU_T1-R2,CRUK0028,6209,0.590489776509748
CRUK0029_SU_T1-R1,CRUK0029,1963,0.08716696269982238
CRUK0029_SU_T1-R2,CRUK0029,1962,0.08712255772646536
CRUK0029_SU_T1-R4,CRUK0029,3612,0.16039076376554173
CRUK0029_SU_T1-R5,CRUK0029,3080,0.13676731793960922
CRUK0029_SU_T1-R6,CRUK0029,4600,0.20426287744227353
CRUK0029_SU_T1-R7,CRUK0029,2766,0.12282415630550622
CRUK0029_SU_T1-R8,CRUK0029,4537,0.20146536412078153
CRUK0030_SU_T2-R1,CRUK0030,3800,0.3797341860697512
CRUK0030_SU_T2-R2,CRUK0030,2753,0.27510742480263817
CRUK0030_SU_T2-R3,CRUK0030,3454,0.34515838912761065
CRUK0031_SU_T1-R1,CRUK0031,17332,0.3878880111004185
CRUK0031_SU_T1-R2,CRUK0031,15527,0.34749233489246467
CRUK0031_SU_T1-R3,CRUK0031,11824,0.2646196540071168
CRUK0032_SU_T1-R1,CRUK0032,8102,0.16720668661644825
CRUK0032_SU_T1-R2,CRUK0032,16209,0.3345165617583325
CRUK0032_SU_T1-R3,CRUK0032,9513,0.19632648849447942
CRUK0032_SU_T1-R4,CRUK0032,14631,0.30195026313073986
CRUK0033_SU_T1-R1,CRUK0033,20369,0.5880875389767871
CRUK0033_SU_T1-R2,CRUK0033,14267,0.41191246102321283
CRUK0034_SU_T1-R1,CRUK0034,1770,0.11118788868647528
CRUK0034_SU_T1-R2,CRUK0034,10160,0.6382310446636095
CRUK0034_SU_T1-R3,CRUK0034,3989,0.2505810666499152
CRUK0035_SU_T1-R1,CRUK0035,7232,0.30862458925447017
CRUK0035_SU_T1-R2,CRUK0035,15557,0.6638928007510776
CRUK0035_SU_T1-R3,CRUK0035,644,0.02748260999445227
CRUK0036_SU_T1-R1,CRUK0036,4197,0.27690176156231444
CRUK0036_SU_T1-R2,CRUK0036,6354,0.4192122451672495
CRUK0036_SU_T1-R3,CRUK0036,989,0.06525037936267071
CRUK0036_SU_T1-R4,CRUK0036,3617,0.2386356139077654
CRUK0037_SU_T1-R1,CRUK0037,10615,0.25099903052658956
