sample,Sig1,Sig2,Sig3,Sig4,Sig5
CRUK0001_SU_T1-R1,852.015643958598,1125.09418145257,177.561133039384,312.763140072746,165.545553499485
CRUK0001_SU_T1-R2,1334.94186408439,661.578853192728,316.608246832188,318.562610016558,198.307835600746
CRUK0001_SU_T1-R3,4254.18687432966,1006.38477250698,1164.13813591782,1702.49491110093,914.82097222425
CRUK0002_SU_T1-R1,1802.46507761252,1112.10378653257,496.937309930744,861.827982962647,683.656957129045
CRUK0002_SU_T1-R2,1976.16314695253,972.839345458658,468.040576303653,1004.46242717774,544.492187751926
CRUK0002_SU_T1-R3,1.92346169923348e-11,698.276478155767,61.0517225464849,283.552131211922,0.0984344620030263
CRUK0003_SU_T1-R1,7154.68464195675,1198.74361539983,1523.87978132393,1795.87169609959,965.884755908911
CRUK0003_SU_T1-R2,496.178529607795,1473.90731632121,196.243035863492,259.451468474215,109.18353337785
CRUK0003_SU_T1-R3,3815.45686771878,3923.64333189145,1728.05128612497,1437.13113223025,1031.64888695861
CRUK0003_SU_T1-R4,6178.22709409664,1958.95548112916,2186.40029312111,2112.5653596336,1407.87147092253
CRUK0003_SU_T1-R6,2977.4259499596,3392.08875316024,1487.17140800391,1352.71271418484,1070.536421933
CRUK0004_SU_T1-R1,3256.87614882465,1536.75916318976,1585.34480554521,1080.83050847027,979.181592135283
CRUK0004_SU_T1-R2,2587.83555078316,622.389779287942,1217.36408566126,647.349234743102,577.073099109699
CRUK0004_SU_T1-R3,3360.05989994254,1044.32543211912,1787.58860627982,1231.51599051868,864.515460207166
CRUK0004_SU_T1-R4,2079.94946321316,639.954926402891,1188.81853366073,609.093293692407,556.187025035939
CRUK0005_SU_T1-R1,4638.08777904301,1239.28062792081,1854.42310123067,1653.75820524949,1706.46960872193
CRUK0005_SU_T1-R2,3062.14864738991,835.361519203891,1398.97739936526,960.741773914101,1482.78182821944
CRUK0005_SU_T1-R3,3872.25242607203,757.635939816603,2067.00259231409,1161.92066880276,1990.20832090329
CRUK0005_SU_T1-R4,3865.95317529923,1072.23873745886,1441.35043109979,1353.48267415072,1575.99110719638
CRUK0006_SU_T1-R1,1736.93466318831,552.733441252082,498.594600711627,1718.35455184761,708.385802035733
CRUK0006_SU_T1-R2,1482.04906552409,484.752029942958,507.080867969387,1431.45207323004,626.667547076816
CRUK0007_SU_T1-R1,6188.73288037465,1177.59328520452,1048.27281654607,1312.39386638735,670.062243413829
CRUK0007_SU_T1-R2,6966.42299927565,1478.84852780004,2874.15770421524,1989.84775244136,1650.76326851956
CRUK0008_SU_T1-R1,820.153093606097,735.452489884247,458.945220918853,579.019290327756,347.416573125564
CRUK0008_SU_T1-R2,1410.07239534802,693.331485745487,490.879860318404,1234.03483227235,476.676662686008
CRUK0009_SU_T1-R1,4829.87627637121,1019.96971052688,766.702794985982,1058.81320317363,372.67847847802
CRUK0009_SU_T1-R2,2714.85872307646,469.417047557074,412.127457588628,667.959490223846,258.662924019906
CRUK0009_SU_T1-R3,4026.45899486035,831.526050320956,773.980654996085,1105.51378968123,899.552988551963
CRUK0009_SU_T1-R4,6644.57625312432,1460.71494295147,1647.21632872474,2069.26512789237,1367.27408953446
CRUK0010_SU_T1-R1,3343.4944108708,1469.68899738926,857.428243568095,1528.9970596873,650.392180049345
CRUK0010_SU_T1-R2,2651.62574051982,1515.82473701192,591.079418691546,658.600502420926,394.863003943822
CRUK0011_SU_T1-R1,3508.6588123524,1062.51908796627,1210.61305083336,1000.94094726596,1591.28193368488
CRUK0011_SU_T1-R2,4048.47549543177,1042.13706452847,1462.20666183286,878.706138785782,1752.49603845322
CRUK0011_SU_T1-R3,2883.40215643462,935.310571650251,821.623316578898,681.72552148461,1009.95003754072
CRUK0012_SU_T1-R1,3121.0984653363,473.085499119868,652.652910831019,732.513935419832,378.678995054395
CRUK0012_SU_T1-R2,3902.06758394896,676.278299540154,626.478408319522,712.278738814243,394.934267206981
CRUK0013_SU_T1-R1,1019.82961759283,1551.68123227036,418.18219475987,428.43554369382,420.839215183984
CRUK0013_SU_T1-R2,979.331926184858,1262.20147196874,504.342976350908,296.940431771162,461.158130816908
CRUK0013_SU_T1-R3,4517.29777385857,879.707932788241,792.283947024446,894.888145314947,443.861773881116
CRUK0014_SU_T1-R1,3043.81127845631,847.588000959827,1293.397186923,649.531191034205,653.684566394425
CRUK0014_SU_T1-R2,864.740654385021,614.98203805021,139.709557984535,293.701714331586,127.860722280771
CRUK0015_SU_T1-R1,182.335269387537,557.336158252404,903.290921787507,102.910200982317,3689.10716014584
CRUK0015_SU_T1-R2,1687.88475306687,763.846450008198,1939.97255140486,473.436247708137,677.846599798322
CRUK0016_SU_T1-R1,4818.78504245655,3337.22795510675,830.024368112017,1435.58603372583,690.349684775112
CRUK0016_SU_T1-R2,1157.3184851656,819.805927870994,389.972484377869,4466.31955563278,1223.5617962614
CRUK0017_SU_T1-R1,4097.56452545041,791.65299030581,874.123160388176,1110.44075015057,561.252261800374
CRUK0017_SU_T1-R2,1179.42742257315,335.006788469455,1180.07785672467,812.500130536664,1142.9844124198
CRUK0017_SU_T1-R3,3285.67585869059,752.163858226238,2396.67921980922,1541.3159769668,2463.17130181434
