sample,group,silhouette_width,enrich_sig
CRUK0024_SU_T1-R1,1,0.6,Sig3
CRUK0024_SU_T1-R3,1,0.574,Sig3
CRUK0024_SU_T1-R4,1,0.628,Sig3
CRUK0024_SU_T1-R6,1,0.622,Sig3
CRUK0026_SU_T1-R1,1,0.655,Sig3
CRUK0063_SU_T1-R5,1,0.0663,Sig3
CRUK0065_SU_T1-R1,1,0.318,Sig3
CRUK0065_SU_T1-R2,1,0.552,Sig3
CRUK0065_SU_T1-R3,1,0.61,Sig3
CRUK0065_SU_T1-R4,1,0.641,Sig3
CRUK0065_SU_T1-R5,1,0.522,Sig3
CRUK0065_SU_T1-R6,1,0.386,Sig3
CRUK0069_SU_T1-R5,1,0.616,Sig3
CRUK0081_SU_T1-R1,1,0.562,Sig3
CRUK0081_SU_T1-R5,1,0.603,Sig3
CRUK0091_SU_T1-R2,1,0.102,Sig3
CRUK0092_SU_T1-R1,1,0.559,Sig3
CRUK0092_SU_T1-R2,1,0.567,Sig3
CRUK0001_SU_T1-R1,2,0.477,Sig2
CRUK0002_SU_T1-R3,2,0.323,Sig2
CRUK0003_SU_T1-R2,2,0.447,Sig2
CRUK0003_SU_T1-R3,2,0.177,Sig2
CRUK0003_SU_T1-R6,2,0.201,Sig2
CRUK0013_SU_T1-R1,2,0.435,Sig2
CRUK0013_SU_T1-R2,2,0.276,Sig2
CRUK0018_SU_T1-R1,2,0.194,Sig2
CRUK0029_SU_T1-R2,2,0.266,Sig2
CRUK0030_SU_T2-R1,2,0.0754,Sig2
CRUK0030_SU_T2-R3,2,-0.0154,Sig2
CRUK0034_SU_T1-R1,2,0.445,Sig2
CRUK0035_SU_T1-R2,2,0.036,Sig2
CRUK0038_SU_T1-R1,2,0.275,Sig2
CRUK0038_SU_T1-R2,2,0.449,Sig2
CRUK0041_SU_T1-R2,2,0.442,Sig2
CRUK0041_SU_T1-R4,2,0.398,Sig2
CRUK0043_SU_T1-R1,2,0.317,Sig2
CRUK0043_SU_T1-R2,2,0.144,Sig2
CRUK0047_SU_T1-R2,2,0.228,Sig2
CRUK0050_SU_T1-R5,2,0.275,Sig2
CRUK0052_SU_T1-R3,2,0.327,Sig2
CRUK0057_SU_T1-R2,2,0.319,Sig2
CRUK0061_SU_T1-R1,2,0.0392,Sig2
CRUK0066_SU_T1-R1,2,0.385,Sig2
CRUK0067_SU_T1-R1,2,0.366,Sig2
CRUK0067_SU_T1-R3,2,0.00477,Sig2
CRUK0069_SU_T1-R3,2,0.364,Sig2
CRUK0070_SU_T1-R7,2,0.0572,Sig2
CRUK0071_SU_T1-R5,2,0.458,Sig2
CRUK0072_SU_T1-R1,2,0.195,Sig2
CRUK0072_SU_T1-R3,2,0.255,Sig2
CRUK0076_SU_T1-R1,2,0.494,Sig2
CRUK0078_SU_T1-R3,2,0.453,Sig2
CRUK0083_SU_T1-R4,2,0.415,Sig2
CRUK0090_SU_T1-R1,2,-0.0193,Sig2
CRUK0015_SU_T1-R1,3,0.251,Sig5
CRUK0016_SU_T1-R2,3,0.142,Sig5
CRUK0020_SU_T1-R1,3,0.383,Sig5
CRUK0020_SU_T1-R2,3,0.381,Sig5
CRUK0027_SU_T1-R2,3,0.28,Sig5
CRUK0034_SU_T1-R2,3,0.257,Sig5
CRUK0039_SU_T1-R1,3,0.338,Sig5
CRUK0039_SU_T1-R2,3,0.396,Sig5
CRUK0039_SU_T1-R3,3,0.389,Sig5
CRUK0049_SU_T1-R1,3,0.172,Sig5
CRUK0049_SU_T1-R2,3,0.0257,Sig5
CRUK0051_SU_T1-R2,3,-0.00577,Sig5
CRUK0052_SU_T1-R1,3,0.0957,Sig5
CRUK0052_SU_T1-R4,3,0.158,Sig5
CRUK0053_SU_T1-R2,3,0.168,Sig5
CRUK0057_SU_T1-R1,3,0.314,Sig5
CRUK0060_SU_T1-R1,3,0.357,Sig5
CRUK0068_SU_T1-R1,3,0.288,Sig5
CRUK0068_SU_T1-R3,3,-0.184,Sig5
CRUK0069_SU_T1-R2,3,0.121,Sig5
CRUK0082_SU_T1-R5,3,-0.0449,Sig5
CRUK0083_SU_T1-R3,3,0.117,Sig5
CRUK0085_SU_T1-R1,3,-0.0281,Sig5
CRUK0085_SU_T1-R2,3,0.298,Sig5
CRUK0085_SU_T1-R3,3,0.219,Sig5
CRUK0085_SU_T1-R4,3,0.179,Sig5
CRUK0087_SU_T1-R1,3,0.0612,Sig5
CRUK0089_SU_T1-R2,3,0.313,Sig5
CRUK0090_SU_T1-R2,3,0.274,Sig5
CRUK0096_SU_T1-R1,3,0.036,Sig5
CRUK0096_SU_T1-R5,3,-0.0183,Sig5
CRUK0098_SU_T1-R2,3,-0.0827,Sig5
CRUK0001_SU_T1-R2,4,0.378,Sig1
CRUK0001_SU_T1-R3,4,0.323,Sig1
CRUK0003_SU_T1-R1,4,0.547,Sig1
CRUK0003_SU_T1-R4,4,0.196,Sig1
CRUK0004_SU_T1-R2,4,0.129,Sig1
CRUK0007_SU_T1-R1,4,0.557,Sig1
CRUK0007_SU_T1-R2,4,0.189,Sig1
CRUK0009_SU_T1-R1,4,0.554,Sig1
CRUK0009_SU_T1-R2,4,0.546,Sig1
CRUK0009_SU_T1-R3,4,0.509,Sig1
CRUK0009_SU_T1-R4,4,0.478,Sig1
CRUK0010_SU_T1-R1,4,0.141,Sig1
CRUK0010_SU_T1-R2,4,0.306,Sig1
CRUK0011_SU_T1-R3,4,0.136,Sig1
CRUK0012_SU_T1-R1,4,0.533,Sig1
CRUK0012_SU_T1-R2,4,0.525,Sig1
CRUK0013_SU_T1-R3,4,0.55,Sig1
CRUK0014_SU_T1-R1,4,0.221,Sig1
CRUK0014_SU_T1-R2,4,0.16,Sig1
CRUK0016_SU_T1-R1,4,0.206,Sig1
CRUK0017_SU_T1-R1,4,0.562,Sig1
CRUK0019_SU_T1-R1,4,0.505,Sig1
CRUK0019_SU_T1-R2,4,0.361,Sig1
CRUK0021_SU_T1-R1,4,0.495,Sig1
CRUK0022_SU_T1-R1,4,0.466,Sig1
CRUK0022_SU_T1-R2,4,0.273,Sig1
CRUK0023_SU_T1-R1,4,0.488,Sig1
CRUK0023_SU_T1-R4,4,0.533,Sig1
CRUK0024_SU_T1-R2,4,0.51,Sig1
CRUK0025_SU_T1-R1,4,0.289,Sig1
CRUK0025_SU_T1-R2,4,0.302,Sig1
CRUK0025_SU_T1-R3,4,0.505,Sig1
CRUK0027_SU_T1-R1,4,0.366,Sig1
CRUK0027_SU_T1-R3,4,0.537,Sig1
CRUK0028_SU_T1-R1,4,0.385,Sig1
CRUK0028_SU_T1-R2,4,0.484,Sig1
CRUK0029_SU_T1-R5,4,0.52,Sig1
CRUK0029_SU_T1-R8,4,0.537,Sig1
CRUK0030_SU_T2-R2,4,0.294,Sig1
CRUK0031_SU_T1-R1,4,0.0957,Sig1
CRUK0032_SU_T1-R1,4,0.207,Sig1
CRUK0032_SU_T1-R3,4,0.417,Sig1
CRUK0033_SU_T1-R1,4,0.474,Sig1
CRUK0033_SU_T1-R2,4,0.336,Sig1
CRUK0034_SU_T1-R3,4,0.545,Sig1
CRUK0035_SU_T1-R3,4,0.28,Sig1
CRUK0036_SU_T1-R1,4,0.56,Sig1
CRUK0036_SU_T1-R2,4,0.15,Sig1
CRUK0036_SU_T1-R3,4,0.543,Sig1
CRUK0036_SU_T1-R4,4,0.319,Sig1
CRUK0037_SU_T1-R1,4,0.296,Sig1
CRUK0037_SU_T1-R3,4,0.543,Sig1
CRUK0037_SU_T1-R4,4,0.319,Sig1
CRUK0037_SU_T1-R5,4,0.469,Sig1
CRUK0040_SU_T1-R1,4,0.551,Sig1
CRUK0040_SU_T1-R2,4,0.302,Sig1
CRUK0041_SU_T1-R1,4,0.501,Sig1
CRUK0041_SU_T1-R3,4,0.57,Sig1
CRUK0042_SU_T1-R1,4,0.15,Sig1
CRUK0042_SU_T1-R2,4,0.552,Sig1
CRUK0044_SU_T1-R2,4,0.466,Sig1
CRUK0045_SU_T1-R1,4,0.423,Sig1
CRUK0045_SU_T1-R2,4,0.304,Sig1
CRUK0046_SU_T1-R1,4,0.31,Sig1
CRUK0046_SU_T1-R3,4,0.276,Sig1
CRUK0046_SU_T1-R4,4,0.376,Sig1
CRUK0047_SU_T1-R1,4,0.512,Sig1
CRUK0048_SU_T1-R1,4,0.316,Sig1
CRUK0048_SU_T1-R2,4,0.554,Sig1
CRUK0048_SU_T1-R3,4,0.168,Sig1
CRUK0050_SU_T1-R4,4,0.383,Sig1
CRUK0054_SU_T1-R2,4,0.553,Sig1
CRUK0055_SU_T1-R1,4,0.453,Sig1
CRUK0055_SU_T1-R2,4,0.377,Sig1
CRUK0056_SU_T1-R1,4,0.264,Sig1
CRUK0056_SU_T1-R2,4,0.548,Sig1
CRUK0058_SU_T1-R1,4,0.27,Sig1
CRUK0059_SU_T1-R1,4,0.444,Sig1
CRUK0059_SU_T1-R2,4,0.563,Sig1
CRUK0061_SU_T1-R2,4,0.579,Sig1
CRUK0062_SU_T1-R1,4,0.573,Sig1
CRUK0062_SU_T1-R2,4,0.251,Sig1
CRUK0062_SU_T1-R3,4,0.373,Sig1
CRUK0062_SU_T1-R4,4,0.493,Sig1
CRUK0062_SU_T1-R5,4,0.563,Sig1
CRUK0062_SU_T1-R6,4,0.313,Sig1
CRUK0062_SU_T1-R7,4,0.549,Sig1
CRUK0063_SU_T1-R6,4,0.53,Sig1
CRUK0063_SU_T1-R7,4,0.491,Sig1
CRUK0064_SU_T1-R1,4,0.338,Sig1
CRUK0064_SU_T1-R2,4,0.498,Sig1
CRUK0066_SU_T1-R2,4,0.531,Sig1
CRUK0068_SU_T1-R2,4,0.241,Sig1
CRUK0070_SU_T1-R1,4,0.338,Sig1
CRUK0070_SU_T1-R2,4,0.174,Sig1
CRUK0071_SU_T1-R1,4,0.527,Sig1
CRUK0071_SU_T1-R3,4,0.575,Sig1
CRUK0071_SU_T1-R7,4,0.284,Sig1
CRUK0072_SU_T1-R2,4,0.561,Sig1
CRUK0072_SU_T1-R4,4,0.575,Sig1
CRUK0073_SU_T1-R1,4,0.207,Sig1
CRUK0073_SU_T1-R2,4,0.189,Sig1
CRUK0074_SU_T1-R3,4,0.305,Sig1
CRUK0077_SU_T1-R2,4,0.408,Sig1
CRUK0077_SU_T1-R3,4,0.526,Sig1
CRUK0078_SU_T1-R2,4,0.134,Sig1
CRUK0078_SU_T1-R4,4,0.567,Sig1
CRUK0079_SU_T1-R1,4,0.415,Sig1
CRUK0079_SU_T1-R2,4,0.133,Sig1
CRUK0079_SU_T1-R4,4,0.15,Sig1
CRUK0080_SU_T1-R3,4,0.574,Sig1
CRUK0080_SU_T1-R4,4,0.427,Sig1
CRUK0081_SU_T1-R6,4,0.52,Sig1
CRUK0082_SU_T1-R1,4,0.454,Sig1
CRUK0082_SU_T1-R2,4,0.436,Sig1
CRUK0082_SU_T1-R3,4,0.349,Sig1
CRUK0084_SU_T1-R1,4,0.509,Sig1
CRUK0084_SU_T1-R2,4,0.432,Sig1
CRUK0084_SU_T1-R3,4,0.541,Sig1
CRUK0084_SU_T1-R4,4,0.586,Sig1
CRUK0086_SU_T1-R1,4,0.276,Sig1
CRUK0089_SU_T1-R1,4,0.575,Sig1
CRUK0091_SU_T1-R1,4,0.569,Sig1
CRUK0093_SU_T1-R1,4,0.511,Sig1
CRUK0094_SU_T1-R1,4,0.0795,Sig1
CRUK0094_SU_T1-R4,4,0.411,Sig1
CRUK0095_SU_T1-R1,4,0.26,Sig1
CRUK0095_SU_T1-R2,4,0.472,Sig1
CRUK0095_SU_T1-R3,4,0.395,Sig1
CRUK0096_SU_T1-R2,4,0.461,Sig1
CRUK0096_SU_T1-R3,4,0.148,Sig1
CRUK0097_SU_T1-R1,4,0.517,Sig1
CRUK0098_SU_T1-R1,4,0.527,Sig1
CRUK0099_SU_T1-R7,4,0.141,Sig1
CRUK0100_SU_T1-R1,4,0.566,Sig1
CRUK0100_SU_T1-R2,4,0.251,Sig1
CRUK0002_SU_T1-R1,5,0.27,Sig1
CRUK0002_SU_T1-R2,5,0.0782,Sig1
CRUK0004_SU_T1-R1,5,0.238,Sig1
CRUK0004_SU_T1-R3,5,0.15,Sig1
CRUK0004_SU_T1-R4,5,0.13,Sig1
CRUK0005_SU_T1-R1,5,0.175,Sig1
CRUK0005_SU_T1-R2,5,0.307,Sig1
CRUK0005_SU_T1-R3,5,0.279,Sig1
CRUK0005_SU_T1-R4,5,0.213,Sig1
CRUK0006_SU_T1-R1,5,0.245,Sig1
CRUK0006_SU_T1-R2,5,0.28,Sig1
CRUK0008_SU_T1-R1,5,0.272,Sig1
CRUK0008_SU_T1-R2,5,0.298,Sig1
CRUK0011_SU_T1-R1,5,0.2,Sig1
CRUK0011_SU_T1-R2,5,0.0764,Sig1
CRUK0015_SU_T1-R2,5,0.00667,Sig1
CRUK0017_SU_T1-R2,5,0.242,Sig1
CRUK0017_SU_T1-R3,5,0.385,Sig1
CRUK0017_SU_T1-R4,5,0.273,Sig1
CRUK0018_SU_T1-R2,5,0.379,Sig1
CRUK0018_SU_T1-R3,5,0.345,Sig1
CRUK0018_SU_T1-R4,5,0.36,Sig1
CRUK0021_SU_T1-R2,5,0.134,Sig1
CRUK0023_SU_T1-R2,5,0.337,Sig1
CRUK0023_SU_T1-R3,5,0.107,Sig1
CRUK0026_SU_T1-R2,5,0.371,Sig1
CRUK0029_SU_T1-R1,5,0.129,Sig1
CRUK0029_SU_T1-R4,5,0.326,Sig1
CRUK0029_SU_T1-R6,5,0.221,Sig1
CRUK0029_SU_T1-R7,5,0.391,Sig1
CRUK0031_SU_T1-R2,5,0.0649,Sig1
CRUK0031_SU_T1-R3,5,0.166,Sig1
CRUK0032_SU_T1-R2,5,0.425,Sig1
CRUK0032_SU_T1-R4,5,0.369,Sig1
CRUK0035_SU_T1-R1,5,0.264,Sig1
CRUK0037_SU_T1-R2,5,-0.0145,Sig1
CRUK0044_SU_T1-R1,5,0.154,Sig1
CRUK0045_SU_T1-R3,5,-0.0418,Sig1
CRUK0046_SU_T1-R2,5,-0.0733,Sig1
CRUK0050_SU_T1-R1,5,0.287,Sig1
CRUK0050_SU_T1-R2,5,0.16,Sig1
CRUK0050_SU_T1-R3,5,0.238,Sig1
CRUK0051_SU_T1-R3,5,0.395,Sig1
CRUK0051_SU_T1-R4,5,0.328,Sig1
CRUK0052_SU_T1-R2,5,0.475,Sig1
CRUK0053_SU_T1-R1,5,0.434,Sig1
CRUK0054_SU_T1-R1,5,0.406,Sig1
CRUK0055_SU_T1-R3,5,0.184,Sig1
CRUK0055_SU_T1-R4,5,0.243,Sig1
CRUK0056_SU_T1-R3,5,0.0581,Sig1
CRUK0058_SU_T1-R2,5,0.0578,Sig1
CRUK0060_SU_T1-R2,5,0.315,Sig1
CRUK0063_SU_T1-R3,5,0.3,Sig1
CRUK0063_SU_T1-R4,5,0.247,Sig1
CRUK0065_SU_T1-R7,5,0.414,Sig1
CRUK0066_SU_T1-R3,5,-0.0349,Sig1
CRUK0066_SU_T1-R4,5,0.0593,Sig1
CRUK0068_SU_T1-R4,5,0.435,Sig1
