sample,Sig1,Sig2,Sig3,Sig4,Sig5
CRUK0001_SU_T1-R1,0.323593706204314,0.42730834649186,0.0674373358346969,0.118786766860301,0.0628738446088275
CRUK0001_SU_T1-R2,0.471711004425033,0.233773495117669,0.111875728929136,0.112566316770834,0.0700734547573292
CRUK0001_SU_T1-R3,0.470490466565348,0.11130080909661,0.128747492974388,0.188286892116187,0.101174339247468
CRUK0002_SU_T1-R1,0.363620800622562,0.224350570924785,0.10024978832632,0.173861111128375,0.137917728997958
CRUK0002_SU_T1-R2,0.397938797567509,0.195900080393251,0.0942490524804598,0.202268001551015,0.109644068007766
CRUK0002_SU_T1-R3,0,0.669502103654431,0.0585359208784352,0.271867597263861,0
CRUK0003_SU_T1-R1,0.566077073760283,0.0948443309457695,0.120569032814616,0.142088973232361,0.0764205892469701
CRUK0003_SU_T1-R2,0.195733964025724,0.58143128816579,0.0774145293073562,0.102349177496445,0.0430710410046848
CRUK0003_SU_T1-R3,0.319661424510081,0.328725355894745,0.144777245530613,0.120403768372613,0.0864322056919491
CRUK0003_SU_T1-R4,0.446274075627484,0.141501928178012,0.157931030197418,0.152597685179616,0.10169528081747
CRUK0003_SU_T1-R6,0.289634698891565,0.329971801531575,0.144667390624173,0.131587668759666,0.104138440193021
CRUK0004_SU_T1-R1,0.38593188198635,0.182102213565483,0.187859493712141,0.128075779729213,0.116030631006812
CRUK0004_SU_T1-R2,0.457860964456257,0.110118274140818,0.215385979293233,0.114534304496203,0.102100477613489
CRUK0004_SU_T1-R3,0.405412369105694,0.126004434492367,0.21568381321733,0.148590153204192,0.104309229980418
CRUK0004_SU_T1-R4,0.409922769854442,0.126124264388525,0.234295974393374,0.120041959896681,0.109615031466978
CRUK0005_SU_T1-R1,0.418146384741182,0.111727233060645,0.167185347173427,0.149094421603168,0.153846613421578
CRUK0005_SU_T1-R2,0.395625869380306,0.107927689128871,0.180746173226778,0.124126665071836,0.191573603192209
CRUK0005_SU_T1-R3,0.393161192337134,0.0769250081555039,0.209868860378639,0.117973227280291,0.202071711848433
CRUK0005_SU_T1-R4,0.415291274964259,0.115182820938046,0.154833809686634,0.145394814655659,0.169297279755403
CRUK0006_SU_T1-R1,0.333064936592692,0.105989092431007,0.0956077292893964,0.329502117716008,0.135836123970897
CRUK0006_SU_T1-R2,0.327018655695165,0.10696201688936,0.111888943240517,0.315854274712699,0.138276109462258
CRUK0007_SU_T1-R1,0.595239019670133,0.11326219538059,0.100824012884195,0.126227461024657,0.0644473110404261
CRUK0007_SU_T1-R2,0.465668733627039,0.0988532452362514,0.192122324255284,0.133010855511691,0.110344841369733
CRUK0008_SU_T1-R1,0.27887004812646,0.250069984308622,0.156051445568915,0.196879263906552,0.11812925808945
CRUK0008_SU_T1-R2,0.327543311415349,0.161052788139683,0.114025645411001,0.286651846173196,0.110726408860771
CRUK0009_SU_T1-R1,0.600130714831088,0.126735161825812,0.0952657728871742,0.131561615274044,0.0463067351818821
CRUK0009_SU_T1-R2,0.600230672492129,0.103783857237022,0.0911176478238888,0.147679792913949,0.0571880295330108
CRUK0009_SU_T1-R3,0.527228214131981,0.108880779631569,0.101345733068974,0.144756984182855,0.117788288984621
CRUK0009_SU_T1-R4,0.503795034090704,0.110752124205815,0.124892750849904,0.15689269803459,0.103667392818987
CRUK0010_SU_T1-R1,0.42592280651376,0.187221507066135,0.109226515437653,0.19477667337978,0.0828524976026719
CRUK0010_SU_T1-R2,0.4562334395182,0.260809782808241,0.101699946601512,0.113317489680504,0.0679393413915427
CRUK0011_SU_T1-R1,0.41899367289095,0.126882891438866,0.144567835103439,0.119529411741442,0.190026188825303
CRUK0011_SU_T1-R2,0.440817297731736,0.113472848031288,0.159212026878221,0.0956777102978427,0.190820117060911
CRUK0011_SU_T1-R3,0.45536905756059,0.147711443091059,0.129757076897997,0.107663340523165,0.159499081927189
CRUK0012_SU_T1-R1,0.582508604558382,0.0882946747722765,0.12180837630452,0.13671329984618,0.0706750445186413
CRUK0012_SU_T1-R2,0.618194633496626,0.107141049336427,0.0992513793501998,0.112844507281212,0.0625684305355361
CRUK0013_SU_T1-R1,0.265652037160307,0.404192301601315,0.108930893970644,0.111601754852728,0.109623012415006
CRUK0013_SU_T1-R2,0.27949170406951,0.360219891588623,0.143934527331233,0.0847438800511366,0.131609996959497
CRUK0013_SU_T1-R3,0.600062968603391,0.116857506429549,0.105244391897196,0.11887399589932,0.0589611371705444
CRUK0014_SU_T1-R1,0.469143887754374,0.130639088171694,0.199351841876137,0.100112510370242,0.100752671827553
CRUK0014_SU_T1-R2,0.423685891922859,0.301314864736113,0.0684517009633627,0.143901263534727,0.0626462788429389
CRUK0015_SU_T1-R1,0.0335484728734889,0.10254613410423,0.1661995020944,0.0189347902775881,0.678771100650293
CRUK0015_SU_T1-R2,0.304508178400071,0.137804130671084,0.349986873630481,0.0854117611502933,0.122289056148072
CRUK0016_SU_T1-R1,0.433657011761361,0.300327217302123,0.0746963983645707,0.129192720577243,0.0621266519947019
CRUK0016_SU_T1-R2,0.143641753689096,0.101751041457924,0.0484018291114702,0.55434176653214,0.151863609209369
CRUK0017_SU_T1-R1,0.551115798172005,0.106476046177621,0.11756815060405,0.149352484028225,0.0754875210180994
CRUK0017_SU_T1-R2,0.253640490802331,0.0720445231501607,0.253780369216442,0.174731338225686,0.24580327860538
CRUK0017_SU_T1-R3,0.314749870903392,0.0720532053241711,0.229588829657841,0.147649684763782,0.235958409350814
CRUK0017_SU_T1-R4,0.24711230913826,0.124281807443056,0.239327030334005,0.144915151835437,0.244363701249241
CRUK0018_SU_T1-R1,0.24576584107334,0.337281388112802,0.127527804451792,0.122257741246799,0.167167225115267
CRUK0018_SU_T1-R2,0.330736782643251,0.230913977319335,0.161283045531673,0.136091367593289,0.140974826912452
CRUK0018_SU_T1-R3,0.369959429043856,0.196491558555118,0.127976331045669,0.139678596016054,0.165894085339302
CRUK0018_SU_T1-R4,0.37523426673266,0.175671868491353,0.133890820057616,0.150870468186749,0.164332576531623
CRUK0019_SU_T1-R1,0.497231670613273,0.160340013177241,0.106224800057087,0.133060093922008,0.103143422230392
CRUK0019_SU_T1-R2,0.476100714486184,0.263368707350801,0.06688937384904,0.148971743209106,0.0446694611048685
CRUK0020_SU_T1-R1,0.105512035594861,0.0868718170896825,0.0907173451998571,0.331988222583354,0.384910579532244
CRUK0020_SU_T1-R2,0.0570261141054072,0.213202867516329,0.150782999596691,0.169622276402313,0.409365742379261
CRUK0021_SU_T1-R1,0.514385665732693,0.143258279909043,0.101584691082686,0.197441227242668,0.0433301360329099
CRUK0021_SU_T1-R2,0.398065479075051,0.168560136328133,0.185040096440793,0.158944349157584,0.0893899389984385
CRUK0022_SU_T1-R1,0.490429192613045,0.209677282550614,0.0852009114652316,0.132007522374628,0.0826850909964818
CRUK0022_SU_T1-R2,0.441408062026333,0.229668213258099,0.0955682203695225,0.162332827862894,0.0710226764831515
CRUK0023_SU_T1-R1,0.506814538295679,0.109618143772428,0.119342070539988,0.165882262800389,0.0983429845915151
CRUK0023_SU_T1-R2,0.275402438169999,0.241521234644019,0.174647644231684,0.163760402080528,0.14466828087377
CRUK0023_SU_T1-R3,0.414754050500534,0.169450672919762,0.155463471907542,0.125711963759322,0.134619840912841
CRUK0023_SU_T1-R4,0.526267293909164,0.11127460453855,0.134655375779196,0.145375273688307,0.0824274520847824
CRUK0024_SU_T1-R1,0.056175140242326,0.0279918627782922,0.674249802356933,0.0453526260424794,0.19623056857997
