sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
CRUK0001_SU_T1-R1,0,0,0,0,0,319.534303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.286148,0,0,0,0,0,0,0,319.715257,0,0,0,0,0,185.772143,0,0,225.256951,0,0,0,0,0,0,0,321.974124,0,0,0,0,0,0,0,0,0,280.239498,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0001_SU_T1-R2,205.971787,0,0,0,0,272.019625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.244012,0,0,0,0,242.836937,210.101178,0,0,0,0,0,0,196.072818,0,0,0,0,0,0,0,0,227.356326,0,0,0,0,0,0,0,364.938299,0,0,0,0,0,0,0,0,0,391.186009,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0001_SU_T1-R3,0,0,0,0,0,1474.287165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.537637,0,0,0,0,0,0,0,1031.359895,0,0,0,0,0,0,0,0,684.680786,0,0,0,0,0,0,0,1331.86628,0,0,0,0,0,0,0,0,0,751.929088,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0002_SU_T1-R1,0,0,0,0,0,503.079248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.087319,0,0,0,0,0,0,0,0,312.623743,0,0,0,0,0,0,0,676.827957,0,0,0,0,0,0,0,0,0,758.023479,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0002_SU_T1-R2,0,0,0,0,0,608.918937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.446522,0,0,0,0,0,0,0,275.937945,0,0,0,0,0,0,0,0,472.309045,0,0,0,0,0,0,0,711.705386,0,0,0,0,0,0,0,0,0,629.840676,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0002_SU_T1-R3,0,0,0,0,0,69.145796,0,0,0,0,0,0,0,0,0,0,0,138.845093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.360617,57.021739,0,0,0,0,0,0,111.741713,0,0,0,0,0,57.729612,0,0,0,0,0,0,0,0,0,0,90.782809,0,0,0,74.60999,0,0,0,0,0,61.898392,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0003_SU_T1-R1,707.936837,0,0,0,987.033166,1692.710112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.677264,671.98459,0,0,0,0,0,0,1318.115198,0,0,0,0,0,0,0,0,845.496421,0,0,0,0,0,0,0,1814.932097,0,0,0,0,0,0,0,0,0,1199.625653,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0003_SU_T1-R2,145.963505,0,0,0,0,203.560395,0,0,0,0,0,0,0,0,0,0,0,201.385721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.970805,0,0,0,0,0,0,236.8649,0,0,0,0,0,175.869196,0,0,172.818424,0,0,0,0,0,0,0,268.31942,0,0,0,0,0,0,0,0,0,143.770754,0,0,0,0,0,0,0,0,151.826491,0,0,0
CRUK0003_SU_T1-R3,0,0,0,0,0,1683.856475,0,611.64414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.727792,0,0,0,0,0,688.803866,0,0,943.304767,0,0,0,0,0,0,0,1560.958734,0,0,0,0,0,0,0,0,0,1051.100054,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0003_SU_T1-R4,0,0,0,0,0,2142.431545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846.725383,746.918741,0,0,0,0,0,0,1505.190992,0,0,0,0,0,0,0,0,1034.343624,0,0,0,0,0,0,0,2026.050057,0,0,0,0,0,0,0,0,0,1208.554821,0,0,0,0,0,0,0,0,0,0,0,0
