sample,error
CRUK0001_SU_T1-R1,150.391
CRUK0001_SU_T1-R2,110.998
CRUK0001_SU_T1-R3,502.617
CRUK0002_SU_T1-R1,357.927
CRUK0002_SU_T1-R2,308.28
CRUK0002_SU_T1-R3,59.089
CRUK0003_SU_T1-R1,448.367
CRUK0003_SU_T1-R2,117.22
CRUK0003_SU_T1-R3,607.667
CRUK0003_SU_T1-R4,631.473
CRUK0003_SU_T1-R6,376.75
CRUK0004_SU_T1-R1,429.663
CRUK0004_SU_T1-R2,335.283
CRUK0004_SU_T1-R3,419.47
CRUK0004_SU_T1-R4,226.778
CRUK0005_SU_T1-R1,515.808
CRUK0005_SU_T1-R2,340.679
CRUK0005_SU_T1-R3,480.654
CRUK0005_SU_T1-R4,557.826
CRUK0006_SU_T1-R1,301.153
CRUK0006_SU_T1-R2,243.208
CRUK0007_SU_T1-R1,427.034
CRUK0007_SU_T1-R2,880.728
CRUK0008_SU_T1-R1,144.772
CRUK0008_SU_T1-R2,270.208
CRUK0009_SU_T1-R1,270.592
CRUK0009_SU_T1-R2,190.806
CRUK0009_SU_T1-R3,377.699
CRUK0009_SU_T1-R4,535.283
CRUK0010_SU_T1-R1,359.755
CRUK0010_SU_T1-R2,277.623
CRUK0011_SU_T1-R1,466.3
CRUK0011_SU_T1-R2,352.181
CRUK0011_SU_T1-R3,335.788
CRUK0012_SU_T1-R1,266.147
CRUK0012_SU_T1-R2,257.264
CRUK0013_SU_T1-R1,158.955
CRUK0013_SU_T1-R2,183.376
CRUK0013_SU_T1-R3,286.709
CRUK0014_SU_T1-R1,327.793
CRUK0014_SU_T1-R2,121.61
CRUK0015_SU_T1-R1,202.992
CRUK0015_SU_T1-R2,302.997
CRUK0016_SU_T1-R1,529.223
CRUK0016_SU_T1-R2,466.74
CRUK0017_SU_T1-R1,246.386
CRUK0017_SU_T1-R2,257.199
CRUK0017_SU_T1-R3,516.754
CRUK0017_SU_T1-R4,473.198
CRUK0018_SU_T1-R1,564.401
CRUK0018_SU_T1-R2,339.829
CRUK0018_SU_T1-R3,351.455
CRUK0018_SU_T1-R4,329.467
CRUK0019_SU_T1-R1,321.485
CRUK0019_SU_T1-R2,258.357
CRUK0020_SU_T1-R1,361.8
CRUK0020_SU_T1-R2,196.027
CRUK0021_SU_T1-R1,67.059
CRUK0021_SU_T1-R2,146.826
CRUK0022_SU_T1-R1,259.803
CRUK0022_SU_T1-R2,263.559
CRUK0023_SU_T1-R1,374.18
CRUK0023_SU_T1-R2,168.704
CRUK0023_SU_T1-R3,447.053
CRUK0023_SU_T1-R4,314.605
CRUK0024_SU_T1-R1,577.06
CRUK0024_SU_T1-R2,136.769
CRUK0024_SU_T1-R3,470.094
CRUK0024_SU_T1-R4,484.994
CRUK0024_SU_T1-R6,414.347
CRUK0025_SU_T1-R1,360.59
CRUK0025_SU_T1-R2,465.686
CRUK0025_SU_T1-R3,149.982
CRUK0026_SU_T1-R1,381.948
CRUK0026_SU_T1-R2,297.839
CRUK0027_SU_T1-R1,54.298
CRUK0027_SU_T1-R2,196.276
CRUK0027_SU_T1-R3,119.953
CRUK0028_SU_T1-R1,259.737
CRUK0028_SU_T1-R2,286.297
CRUK0029_SU_T1-R1,104.563
CRUK0029_SU_T1-R2,138.478
CRUK0029_SU_T1-R4,166.064
CRUK0029_SU_T1-R5,135.254
CRUK0029_SU_T1-R6,202.713
CRUK0029_SU_T1-R7,147.355
CRUK0029_SU_T1-R8,196.272
CRUK0030_SU_T2-R1,240.099
CRUK0030_SU_T2-R2,139.786
CRUK0030_SU_T2-R3,210.854
CRUK0031_SU_T1-R1,1079.815
CRUK0031_SU_T1-R2,888.761
CRUK0031_SU_T1-R3,725.198
CRUK0032_SU_T1-R1,337.471
CRUK0032_SU_T1-R2,896.816
CRUK0032_SU_T1-R3,367.581
CRUK0032_SU_T1-R4,697.128
CRUK0033_SU_T1-R1,1016.492
CRUK0033_SU_T1-R2,659.788
CRUK0034_SU_T1-R1,80.813
CRUK0034_SU_T1-R2,559.193
CRUK0034_SU_T1-R3,189.31
CRUK0035_SU_T1-R1,367.621
CRUK0035_SU_T1-R2,1028.401
CRUK0035_SU_T1-R3,41.948
CRUK0036_SU_T1-R1,174.879
CRUK0036_SU_T1-R2,298.344
CRUK0036_SU_T1-R3,42.653
CRUK0036_SU_T1-R4,187.607
CRUK0037_SU_T1-R1,540.886
