sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
CRUK0001_SU_T1-R1,0,0,0,0,0,0.177540912113968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818357115720152,0,0,0,0,0,0,0,0.177641454490511,0,0,0,0,0,0.1032194521963,0,0,0.125158157246583,0,0,0,0,0,0,0,0.178896535099256,0,0,0,0,0,0,0,0,0,0.155707777281366,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0001_SU_T1-R2,0.0913510983024375,0,0,0,0,0.120644151636006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639740476677515,0,0,0,0,0.107701259606733,0.0931825355524828,0,0,0,0,0,0,0.0869607800778751,0,0,0,0,0,0,0,0,0.100835412405812,0,0,0,0,0,0,0,0.161854761333276,0,0,0,0,0,0,0,0,0,0.173495953417626,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0001_SU_T1-R3,0,0,0,0,0,0.253764755432537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921805335517683,0,0,0,0,0,0,0,0.177524974598556,0,0,0,0,0,0,0,0,0.117852109367477,0,0,0,0,0,0,0,0.229250263338651,0,0,0,0,0,0,0,0,0,0.129427363711011,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0002_SU_T1-R1,0,0,0,0,0,0.198481402270726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112081843301258,0,0,0,0,0,0,0,0,0.123340406388146,0,0,0,0,0,0,0,0.26703101456769,0,0,0,0,0,0,0,0,0,0.299065333472181,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0002_SU_T1-R2,0,0,0,0,0,0.20048967967744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111435251329232,0,0,0,0,0,0,0,0.0908539821022203,0,0,0,0,0,0,0,0,0.155510172843922,0,0,0,0,0,0,0,0.234332644615795,0,0,0,0,0,0,0,0,0,0.207378269431391,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0002_SU_T1-R3,0,0,0,0,0,0.0945731281225075,0,0,0,0,0,0,0,0,0,0,0,0.189903298957907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948669463317361,0.0779906305253205,0,0,0,0,0,0,0.152833056404144,0,0,0,0,0,0.0789588132319519,0,0,0,0,0,0,0,0,0,0,0.124166828983762,0,0,0,0.102046697726771,0,0,0,0,0,0.0846605997158987,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0003_SU_T1-R1,0.0710458157943239,0,0,0,0.099054849005582,0.169873870838482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729265329077194,0.0674377866817577,0,0,0,0,0,0,0.13228096725359,0,0,0,0,0,0,0,0,0.0848507661159129,0,0,0,0,0,0,0,0.182139598765741,0,0,0,0,0,0,0,0,0,0.120389812636891,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0003_SU_T1-R2,0.0755759103212929,0,0,0,0,0.10539800450453,0,0,0,0,0,0,0,0,0,0,0,0.104272017791604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119590365040336,0,0,0,0,0,0,0.122642166209026,0,0,0,0,0,0.0910602591049995,0,0,0.0894806528117503,0,0,0,0,0,0,0,0.138928456283516,0,0,0,0,0,0,0,0,0,0.074440563832231,0,0,0,0,0,0,0,0,0.078611604100714,0,0,0
CRUK0003_SU_T1-R3,0,0,0,0,0,0.218302873669146,0,0.0792963506137857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152167452335236,0,0,0,0,0,0.089299691259148,0,0,0.122294354916386,0,0,0,0,0,0,0,0.202369847056681,0,0,0,0,0,0,0,0,0,0.136269430149618,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0003_SU_T1-R4,0,0,0,0,0,0.225276874211558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890332519809047,0.0785385743853543,0,0,0,0,0,0,0.158270971392532,0,0,0,0,0,0,0,0,0.108761327296166,0,0,0,0,0,0,0,0.213039350033052,0,0,0,0,0,0,0,0,0,0.127079650700433,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0003_SU_T1-R6,0,0,0,0,0,0.17116817787455,0,0.0658814076944704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649789098205175,0,0,0,0,0,0,0.158933343656593,0,0,0,0,0,0.0746854143913513,0,0,0.111249283415297,0,0,0,0,0,0,0,0.169880934532475,0,0,0,0,0,0,0,0,0,0.116878295661827,0,0,0,0,0,0,0.0663442329529185,0,0,0,0,0
CRUK0004_SU_T1-R1,0,0,0,0,0,0.252313269265462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944287303131821,0,0,0,0,0,0,0,0.207010939902412,0,0,0,0,0,0,0,0,0.118659984541373,0,0,0,0,0,0,0,0.197370459249702,0,0,0,0,0,0,0,0,0,0.130216616727868,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0004_SU_T1-R2,0,0,0,0,0,0.247105579354774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969338606411616,0,0,0,0,0,0,0,0.154113178143548,0,0,0,0,0,0,0,0,0.11005074974041,0,0,0,0,0,0,0,0.222330158098573,0,0,0,0,0,0,0,0,0,0.169466474021534,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0004_SU_T1-R3,0,0,0.114974468702736,0,0,0.225308302328503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113569905509023,0,0,0,0,0,0,0,0.142723151845707,0,0,0,0,0,0,0,0,0.125379802898097,0,0,0,0,0,0,0,0.191757992339403,0,0,0,0,0,0,0,0,0,0.0862863763765297,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0004_SU_T1-R4,0,0,0.10583574605141,0,0,0.206751759037058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128805601530078,0,0,0,0,0,0,0,0.102131576349109,0,0,0,0,0,0,0,0,0.140022903252796,0,0,0,0,0,0,0,0.186602948005981,0,0,0,0,0,0,0,0,0,0.129849465773568,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0005_SU_T1-R1,0,0,0,0,0,0.215855462908208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107634023095316,0.0859051331741975,0,0,0,0,0,0,0.15771482301857,0,0,0,0,0,0,0,0,0.0995830217814556,0,0,0,0,0,0,0,0.208076791766601,0,0,0,0,0,0,0,0,0,0.125230744255652,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0005_SU_T1-R2,0,0,0,0.0827783598708334,0,0.20168245058435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097796958759874,0,0,0,0,0,0.0749900494270764,0,0.143830979251634,0,0,0,0,0,0,0,0,0.0898899577564785,0,0,0,0,0,0,0,0.187470324827376,0,0,0,0,0,0,0,0,0,0.121560919522378,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0005_SU_T1-R3,0,0,0.0828703702339481,0.092334742764461,0,0.214805466571395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935023722901795,0,0,0,0,0,0,0,0.0999121970137665,0,0,0,0,0,0,0,0,0.0833485867901729,0,0,0,0,0,0,0,0.201447980606053,0,0,0,0,0,0,0,0,0,0.131778283730023,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0005_SU_T1-R4,0,0,0,0,0,0.228292511418911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955957824973481,0,0,0,0,0,0,0,0.158879195237515,0,0,0,0,0,0,0,0,0.106555302392993,0,0,0,0,0,0,0,0.247361663090117,0,0,0,0,0,0,0,0,0,0.163315545363116,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0006_SU_T1-R1,0,0,0,0,0,0.251310563252834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115210660915663,0,0,0,0,0,0,0,0.0939574571978162,0,0,0,0,0,0,0,0,0.130323312924499,0,0,0,0,0,0,0,0.221300119169564,0,0,0,0,0,0,0,0,0,0.187897886539624,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0006_SU_T1-R2,0,0,0,0,0,0.22539778157235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943905850111682,0,0,0,0,0,0,0,0.156893333301238,0,0,0,0,0,0,0,0,0.143325652978817,0,0,0,0,0,0,0,0.187395597243736,0,0,0,0,0,0,0,0,0,0.10109943980644,0,0,0,0,0,0,0.0914976100862515,0,0,0,0,0
CRUK0007_SU_T1-R1,0.0888694562872922,0,0,0,0.154344949564714,0.182710877223613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879670763279108,0,0,0,0,0,0,0.105369422704234,0,0,0,0,0,0,0,0,0.0948312420525017,0,0,0,0,0,0,0,0.193356785690312,0,0,0,0,0,0,0,0,0,0.0925501901494228,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0007_SU_T1-R2,0,0,0,0,0,0.269061927672731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898288765523043,0,0,0,0,0,0,0,0.175185186436721,0,0,0,0,0,0,0,0,0.116888635660508,0,0,0,0,0,0,0,0.251041180412537,0,0,0,0,0,0,0,0,0,0.0979941932651988,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0008_SU_T1-R1,0,0,0,0,0.163891773210617,0.148563090340567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102203139190836,0,0,0,0,0,0,0,0.162840407731206,0,0,0,0,0,0,0,0,0.102154895262392,0,0,0,0,0,0,0,0.190476326118852,0,0,0,0,0,0,0,0,0,0.12987036814553,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0008_SU_T1-R2,0,0,0,0,0.168592753166135,0.241524784715378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135337733154341,0,0,0,0,0,0,0,0.138886448518757,0,0,0,0,0,0,0,0,0.109028653983806,0,0,0,0,0,0,0,0.206629626461583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0009_SU_T1-R1,0.0766562592956236,0,0,0,0.1387255646903,0.13687728259115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653809236273241,0.0641066606779609,0,0,0,0,0,0,0.0640606072885928,0,0,0,0,0,0,0,0,0.112143427462639,0,0,0,0,0,0,0,0.18171432244053,0,0,0,0,0,0,0,0,0,0.16033495192588,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0009_SU_T1-R2,0,0,0,0,0.160806098509288,0.145133600548575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104415574924412,0.0918645607234277,0,0,0,0,0,0,0.0794596497608047,0,0,0,0,0,0,0,0,0.0958142051828991,0,0,0,0,0,0,0,0.153280283994167,0,0,0,0,0,0,0,0,0,0.169226026356426,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0009_SU_T1-R3,0,0,0,0,0,0.248654202193267,0,0.0860754972334633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146338935305576,0,0,0,0,0,0,0,0,0.137889264691818,0,0,0,0,0,0,0,0.21647799624108,0,0,0,0,0,0,0,0,0,0.164564104334796,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0009_SU_T1-R4,0.069935296913985,0,0,0,0,0.191632575271896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0914568425389504,0.0716450392005892,0,0,0,0,0,0,0.134482962072964,0,0,0,0,0,0,0,0,0.124341023114813,0,0,0,0,0,0,0,0.177296607498968,0,0,0,0,0,0,0,0,0,0.139209653387835,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0010_SU_T1-R1,0.0778055589302025,0,0,0,0,0.162955752095053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982212961408099,0.0812515916080318,0,0,0,0,0,0,0.152002779768263,0,0,0,0,0,0,0,0,0.1124105178367,0,0,0,0,0,0,0,0.174455036592456,0,0,0,0,0,0,0,0,0,0.140897467028484,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0010_SU_T1-R2,0,0,0,0,0,0.199070386767724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105882428404772,0.0781646889790658,0,0,0,0,0,0,0.178187809925583,0,0,0,0,0,0,0,0,0.123344171675684,0,0,0,0,0,0,0,0.190663123758046,0,0,0,0,0,0,0,0,0,0.124687390489125,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0011_SU_T1-R1,0,0,0,0,0,0.249127882305288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111499012994067,0,0,0,0,0,0,0,0.195104750248464,0,0,0,0,0,0,0,0,0.128564780602619,0,0,0,0,0,0,0,0.214876022378129,0,0,0,0,0,0,0,0,0,0.100827551471434,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0011_SU_T1-R2,0,0,0,0.0896000374462923,0.0693565161410573,0.217617129723345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812130507393797,0,0,0,0,0,0,0,0.142524849856506,0,0,0,0,0,0,0,0,0.112732665803047,0,0,0,0,0,0,0,0.188021754348972,0,0,0,0,0,0,0,0,0,0.0989339959414022,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0011_SU_T1-R3,0,0,0,0,0,0.242391505626046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855070223719569,0,0,0,0,0,0,0,0.174905385478579,0,0,0,0,0,0,0,0,0.126191012050224,0,0,0,0,0,0,0,0.210163839257108,0,0,0,0,0,0,0,0,0,0.160841235216087,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0012_SU_T1-R1,0,0,0,0,0,0.198120431254938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992153638508112,0.109446974431324,0,0,0,0,0,0,0.136149798657924,0,0,0,0,0,0,0,0,0.0822772262258597,0,0,0,0,0,0,0,0.233760483820549,0,0,0,0,0,0,0,0,0,0.141029721758594,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0012_SU_T1-R2,0.0777497933718514,0,0,0,0,0.19530666834123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10919596798651,0.0765904905262236,0,0,0,0,0,0,0.138476663816012,0,0,0,0,0,0,0,0,0.0776553862968898,0,0,0,0,0,0,0,0.208169503848655,0,0,0,0,0,0,0,0,0,0.116855525812629,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0013_SU_T1-R1,0,0,0,0,0,0.186502739949505,0,0.0712091783379624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10895404843064,0,0,0,0,0,0,0,0.139543257410868,0,0,0,0,0,0.0741793696665854,0,0,0.176905774432741,0,0,0,0,0,0,0,0.137186665316429,0,0,0,0,0,0,0,0,0,0.10551896645527,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0013_SU_T1-R2,0,0,0,0,0,0.1748380594348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104452827883082,0,0,0,0,0,0,0,0.136379966137372,0,0,0,0,0,0.0753801220157871,0,0,0.186241062199389,0,0,0,0,0,0,0,0.175832983051337,0,0,0,0,0,0,0,0,0,0.146874979278233,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0013_SU_T1-R3,0,0,0,0,0,0.22242002131593,0,0.0804654841880546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940916019077745,0,0,0,0,0,0,0,0.12572991556595,0,0,0,0,0,0,0,0,0.134669073140743,0,0,0,0,0,0,0,0.162960263029818,0,0,0,0,0,0,0,0,0,0.17966364085173,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0014_SU_T1-R1,0,0,0,0,0,0.270178115081554,0,0.0849180011592289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158064738660794,0,0,0,0,0,0,0,0,0.106825260088702,0,0,0,0,0,0,0,0.239961680268401,0,0,0,0,0,0,0,0,0,0.140052204741321,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0014_SU_T1-R2,0.120792962059393,0,0,0,0,0.163836907698965,0,0,0,0,0,0,0,0,0,0,0,0.119764269401403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112077763391887,0,0,0,0,0,0,0.109559377444762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240548484257771,0,0,0,0,0,0,0,0,0,0.133420235745819,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0015_SU_T1-R1,0,0,0.0849428639009939,0.0845237480321625,0,0.0735856910049261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126814639477448,0,0,0,0,0.180458399926366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853682721160696,0.0828001451704487,0,0,0,0,0,0,0,0.10839390866269,0,0,0,0,0,0,0,0,0,0.0791426252244701,0,0,0,0,0,0,0.0939697064844251,0,0,0,0,0
CRUK0015_SU_T1-R2,0.103309132126503,0,0.171447560688283,0,0,0.16672470309269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920744777054423,0,0,0,0,0,0.164255432446691,0,0,0,0,0,0,0,0.205065292116629,0,0,0,0,0,0,0,0,0,0.0971234018237621,0,0,0,0,0,0,0,0,0,0,0,0
CRUK0016_SU_T1-R1,0.102287958898422,0,0,0,0.197778210311271,0.118520323317209,0,0,0,0,0,0,0,0,0,0,0,0.108754723038335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102312547704067,0,0,0,0,0,0,0,0,0.106213598329041,0,0,0,0,0,0,0,0.168090988896658,0,0,0,0,0,0,0,0,0,0.0960416495049959,0,0,0,0,0,0,0,0,0,0,0,0
