Samples	SBS96A
CRUK0001_SU_T1-R1	300
CRUK0001_SU_T1-R2	239
CRUK0001_SU_T1-R3	260
CRUK0002_SU_T1-R1	350
CRUK0002_SU_T1-R2	355
CRUK0002_SU_T1-R3	213
CRUK0003_SU_T1-R1	662
CRUK0003_SU_T1-R2	319
CRUK0003_SU_T1-R3	336
CRUK0003_SU_T1-R4	462
CRUK0003_SU_T1-R6	304
CRUK0004_SU_T1-R1	313
CRUK0004_SU_T1-R2	107
CRUK0004_SU_T1-R3	299
CRUK0004_SU_T1-R4	186
CRUK0005_SU_T1-R1	212
CRUK0005_SU_T1-R2	372
CRUK0005_SU_T1-R3	290
CRUK0005_SU_T1-R4	376
CRUK0006_SU_T1-R1	406
CRUK0006_SU_T1-R2	453
CRUK0007_SU_T1-R1	84
CRUK0007_SU_T1-R2	252
CRUK0008_SU_T1-R1	283
CRUK0008_SU_T1-R2	348
CRUK0009_SU_T1-R1	4360
CRUK0009_SU_T1-R2	1726
CRUK0009_SU_T1-R3	593
CRUK0009_SU_T1-R4	1616
CRUK0010_SU_T1-R1	2607
CRUK0010_SU_T1-R2	1064
CRUK0011_SU_T1-R1	283
CRUK0011_SU_T1-R2	318
CRUK0011_SU_T1-R3	429
CRUK0012_SU_T1-R1	388
CRUK0012_SU_T1-R2	131
CRUK0013_SU_T1-R1	814
CRUK0013_SU_T1-R2	594
CRUK0013_SU_T1-R3	2517
CRUK0014_SU_T1-R1	227
CRUK0014_SU_T1-R2	152
CRUK0015_SU_T1-R1	417
CRUK0015_SU_T1-R2	212
CRUK0016_SU_T1-R1	1910
CRUK0016_SU_T1-R2	879
CRUK0017_SU_T1-R1	435
CRUK0017_SU_T1-R2	293
CRUK0017_SU_T1-R3	475
CRUK0017_SU_T1-R4	476
CRUK0018_SU_T1-R1	434
CRUK0018_SU_T1-R2	705
CRUK0018_SU_T1-R3	279
CRUK0018_SU_T1-R4	303
CRUK0019_SU_T1-R1	424
CRUK0019_SU_T1-R2	2585
CRUK0020_SU_T1-R1	1141
CRUK0020_SU_T1-R2	574
CRUK0021_SU_T1-R1	128
CRUK0021_SU_T1-R2	231
CRUK0022_SU_T1-R1	899
CRUK0022_SU_T1-R2	322
CRUK0023_SU_T1-R1	202
CRUK0023_SU_T1-R2	302
CRUK0023_SU_T1-R3	301
CRUK0023_SU_T1-R4	103
CRUK0024_SU_T1-R1	355
CRUK0024_SU_T1-R2	36
CRUK0024_SU_T1-R3	884
CRUK0024_SU_T1-R4	613
CRUK0024_SU_T1-R6	684
CRUK0025_SU_T1-R1	1647
CRUK0025_SU_T1-R2	3046
CRUK0025_SU_T1-R3	1235
CRUK0026_SU_T1-R1	201
CRUK0026_SU_T1-R2	412
CRUK0027_SU_T1-R1	45
CRUK0027_SU_T1-R2	332
CRUK0027_SU_T1-R3	27
CRUK0028_SU_T1-R1	281
CRUK0028_SU_T1-R2	228
CRUK0029_SU_T1-R1	126
CRUK0029_SU_T1-R2	290
CRUK0029_SU_T1-R4	1123
CRUK0029_SU_T1-R5	278
CRUK0029_SU_T1-R6	1025
CRUK0029_SU_T1-R7	225
CRUK0029_SU_T1-R8	699
CRUK0030_SU_T2-R1	240
CRUK0030_SU_T2-R2	265
CRUK0030_SU_T2-R3	360
CRUK0031_SU_T1-R1	2055
CRUK0031_SU_T1-R2	1290
CRUK0031_SU_T1-R3	1916
CRUK0032_SU_T1-R1	253
CRUK0032_SU_T1-R2	555
CRUK0032_SU_T1-R3	444
CRUK0032_SU_T1-R4	555
CRUK0033_SU_T1-R1	416
CRUK0033_SU_T1-R2	568
CRUK0034_SU_T1-R1	214
CRUK0034_SU_T1-R2	556
CRUK0034_SU_T1-R3	487
CRUK0035_SU_T1-R1	123
CRUK0035_SU_T1-R2	178
CRUK0035_SU_T1-R3	168
CRUK0036_SU_T1-R1	143
CRUK0036_SU_T1-R2	587
CRUK0036_SU_T1-R3	275
CRUK0036_SU_T1-R4	200
CRUK0037_SU_T1-R1	752
CRUK0037_SU_T1-R2	434
CRUK0037_SU_T1-R3	407
CRUK0037_SU_T1-R4	481
CRUK0037_SU_T1-R5	637
CRUK0038_SU_T1-R1	308
CRUK0038_SU_T1-R2	259
CRUK0039_SU_T1-R1	573
CRUK0039_SU_T1-R2	599
CRUK0039_SU_T1-R3	589
CRUK0040_SU_T1-R1	142
CRUK0040_SU_T1-R2	219
CRUK0041_SU_T1-R1	716
CRUK0041_SU_T1-R2	655
CRUK0041_SU_T1-R3	1089
CRUK0041_SU_T1-R4	256
CRUK0042_SU_T1-R1	110
CRUK0042_SU_T1-R2	38
CRUK0043_SU_T1-R1	499
CRUK0043_SU_T1-R2	690
CRUK0044_SU_T1-R1	173
CRUK0044_SU_T1-R2	14
CRUK0045_SU_T1-R1	97
CRUK0045_SU_T1-R2	136
CRUK0045_SU_T1-R3	111
CRUK0046_SU_T1-R1	552
CRUK0046_SU_T1-R2	240
CRUK0046_SU_T1-R3	379
CRUK0046_SU_T1-R4	375
CRUK0047_SU_T1-R1	235
CRUK0047_SU_T1-R2	598
CRUK0048_SU_T1-R1	272
CRUK0048_SU_T1-R2	1081
CRUK0048_SU_T1-R3	841
CRUK0049_SU_T1-R1	700
CRUK0049_SU_T1-R2	661
CRUK0050_SU_T1-R1	221
CRUK0050_SU_T1-R2	251
CRUK0050_SU_T1-R3	194
CRUK0050_SU_T1-R4	53
CRUK0050_SU_T1-R5	238
CRUK0051_SU_T1-R2	369
CRUK0051_SU_T1-R3	778
CRUK0051_SU_T1-R4	309
CRUK0052_SU_T1-R1	709
CRUK0052_SU_T1-R2	260
CRUK0052_SU_T1-R3	192
CRUK0052_SU_T1-R4	471
CRUK0053_SU_T1-R1	1752
CRUK0053_SU_T1-R2	2509
CRUK0054_SU_T1-R1	276
CRUK0054_SU_T1-R2	433
CRUK0055_SU_T1-R1	152
CRUK0055_SU_T1-R2	706
CRUK0055_SU_T1-R3	338
CRUK0055_SU_T1-R4	349
CRUK0056_SU_T1-R1	277
CRUK0056_SU_T1-R2	323
CRUK0056_SU_T1-R3	404
CRUK0057_SU_T1-R1	612
CRUK0057_SU_T1-R2	644
CRUK0058_SU_T1-R1	757
CRUK0058_SU_T1-R2	772
CRUK0059_SU_T1-R1	148
CRUK0059_SU_T1-R2	155
CRUK0060_SU_T1-R1	680
CRUK0060_SU_T1-R2	191
CRUK0061_SU_T1-R1	698
CRUK0061_SU_T1-R2	55
CRUK0062_SU_T1-R1	1812
CRUK0062_SU_T1-R2	2245
CRUK0062_SU_T1-R3	1693
CRUK0062_SU_T1-R4	2610
CRUK0062_SU_T1-R5	890
CRUK0062_SU_T1-R6	288
CRUK0062_SU_T1-R7	2951
CRUK0063_SU_T1-R3	198
CRUK0063_SU_T1-R4	372
CRUK0063_SU_T1-R5	460
CRUK0063_SU_T1-R6	96
CRUK0063_SU_T1-R7	59
CRUK0064_SU_T1-R1	257
CRUK0064_SU_T1-R2	106
CRUK0065_SU_T1-R1	1703
CRUK0065_SU_T1-R2	1401
CRUK0065_SU_T1-R3	588
CRUK0065_SU_T1-R4	796
CRUK0065_SU_T1-R5	938
CRUK0065_SU_T1-R6	1231
CRUK0065_SU_T1-R7	202
CRUK0066_SU_T1-R1	444
CRUK0066_SU_T1-R2	113
CRUK0066_SU_T1-R3	180
CRUK0066_SU_T1-R4	1134
CRUK0067_SU_T1-R1	818
CRUK0067_SU_T1-R3	1142
CRUK0068_SU_T1-R1	415
CRUK0068_SU_T1-R2	106
CRUK0068_SU_T1-R3	411
CRUK0068_SU_T1-R4	239
CRUK0069_SU_T1-R1	437
CRUK0069_SU_T1-R2	386
CRUK0069_SU_T1-R3	385
CRUK0069_SU_T1-R4	388
CRUK0069_SU_T1-R5	415
CRUK0070_SU_T1-R1	2844
CRUK0070_SU_T1-R2	2111
CRUK0070_SU_T1-R4	1303
CRUK0070_SU_T1-R6	1179
CRUK0070_SU_T1-R7	174
CRUK0071_SU_T1-R1	1578
CRUK0071_SU_T1-R2	461
CRUK0071_SU_T1-R3	544
CRUK0071_SU_T1-R5	104
CRUK0071_SU_T1-R6	336
CRUK0071_SU_T1-R7	1406
CRUK0072_SU_T1-R1	822
CRUK0072_SU_T1-R2	2187
CRUK0072_SU_T1-R3	296
CRUK0072_SU_T1-R4	2021
CRUK0073_SU_T1-R1	3360
CRUK0073_SU_T1-R2	888
CRUK0074_SU_T1-R1	969
CRUK0074_SU_T1-R2	352
CRUK0074_SU_T1-R3	195
CRUK0075_SU_T1-R1	340
CRUK0075_SU_T1-R2	1084
CRUK0076_SU_T1-R1	1084
CRUK0076_SU_T1-R2	1405
CRUK0076_SU_T1-R3	860
CRUK0076_SU_T1-R4	1001
CRUK0077_SU_T1-R1	427
CRUK0077_SU_T1-R2	1416
CRUK0077_SU_T1-R3	3436
CRUK0078_SU_T1-R2	313
CRUK0078_SU_T1-R3	158
CRUK0078_SU_T1-R4	87
CRUK0079_SU_T1-R1	622
CRUK0079_SU_T1-R2	1023
CRUK0079_SU_T1-R3	1157
CRUK0079_SU_T1-R4	1140
CRUK0080_SU_T1-R2	181
CRUK0080_SU_T1-R3	180
CRUK0080_SU_T1-R4	273
CRUK0080_SU_T1-R5	333
CRUK0080_SU_T1-R6	324
CRUK0081_SU_T1-R1	143
CRUK0081_SU_T1-R5	440
CRUK0081_SU_T1-R6	43
CRUK0082_SU_T1-R1	844
CRUK0082_SU_T1-R2	524
CRUK0082_SU_T1-R3	260
CRUK0082_SU_T1-R4	1067
CRUK0082_SU_T1-R5	482
CRUK0083_SU_T1-R1	1555
CRUK0083_SU_T1-R2	1821
CRUK0083_SU_T1-R3	1261
CRUK0083_SU_T1-R4	3044
CRUK0084_SU_T1-R1	869
CRUK0084_SU_T1-R2	913
CRUK0084_SU_T1-R3	491
CRUK0084_SU_T1-R4	633
CRUK0085_SU_T1-R1	378
CRUK0085_SU_T1-R2	763
CRUK0085_SU_T1-R3	755
CRUK0085_SU_T1-R4	1061
CRUK0086_SU_T1-R1	348
CRUK0086_SU_T1-R2	777
CRUK0086_SU_T1-R4	343
CRUK0087_SU_T1-R1	404
CRUK0087_SU_T1-R2	360
CRUK0087_SU_T1-R3	261
CRUK0088_SU_T1-R1	317
CRUK0088_SU_T1-R2	571
CRUK0089_SU_T1-R1	35
CRUK0089_SU_T1-R2	390
CRUK0090_SU_T1-R1	1155
CRUK0090_SU_T1-R2	1708
CRUK0091_SU_T1-R1	66
CRUK0091_SU_T1-R2	208
CRUK0092_SU_T1-R1	280
CRUK0092_SU_T1-R2	94
CRUK0093_SU_T1-R1	122
CRUK0093_SU_T1-R2	385
CRUK0094_SU_T1-R1	175
CRUK0094_SU_T1-R2	211
CRUK0094_SU_T1-R3	182
CRUK0094_SU_T1-R4	169
CRUK0095_SU_T1-R1	147
CRUK0095_SU_T1-R2	144
CRUK0095_SU_T1-R3	203
CRUK0096_SU_T1-R1	544
CRUK0096_SU_T1-R2	508
CRUK0096_SU_T1-R3	394
CRUK0096_SU_T1-R4	973
CRUK0096_SU_T1-R5	854
CRUK0096_SU_T1-R6	570
CRUK0096_SU_T1-R7	1059
CRUK0097_SU_T1-R1	457
CRUK0097_SU_T1-R2	826
CRUK0098_SU_T1-R1	240
CRUK0098_SU_T1-R2	418
CRUK0098_SU_T1-R3	520
CRUK0099_SU_T1-R1	296
CRUK0099_SU_T1-R2	206
CRUK0099_SU_T1-R3	384
CRUK0099_SU_T1-R4	224
CRUK0099_SU_T1-R5	144
CRUK0099_SU_T1-R6	236
CRUK0099_SU_T1-R7	119
CRUK0100_SU_T1-R1	1111
CRUK0100_SU_T1-R2	1191
CRUK0100_SU_T1-R3	705
