Samples	SBS96A
CRUK0001_SU_T1-R1	0.00E+00
CRUK0001_SU_T1-R2	0.00E+00
CRUK0001_SU_T1-R3	0.00E+00
CRUK0002_SU_T1-R1	0.00E+00
CRUK0002_SU_T1-R2	0.00E+00
CRUK0002_SU_T1-R3	0.00E+00
CRUK0003_SU_T1-R1	0.00E+00
CRUK0003_SU_T1-R2	0.00E+00
CRUK0003_SU_T1-R3	0.00E+00
CRUK0003_SU_T1-R4	0.00E+00
CRUK0003_SU_T1-R6	0.00E+00
CRUK0004_SU_T1-R1	0.00E+00
CRUK0004_SU_T1-R2	0.00E+00
CRUK0004_SU_T1-R3	0.00E+00
CRUK0004_SU_T1-R4	0.00E+00
CRUK0005_SU_T1-R1	0.00E+00
CRUK0005_SU_T1-R2	0.00E+00
CRUK0005_SU_T1-R3	0.00E+00
CRUK0005_SU_T1-R4	0.00E+00
CRUK0006_SU_T1-R1	0.00E+00
CRUK0006_SU_T1-R2	0.00E+00
CRUK0007_SU_T1-R1	0.00E+00
CRUK0007_SU_T1-R2	0.00E+00
CRUK0008_SU_T1-R1	0.00E+00
CRUK0008_SU_T1-R2	0.00E+00
CRUK0009_SU_T1-R1	0.00E+00
CRUK0009_SU_T1-R2	0.00E+00
CRUK0009_SU_T1-R3	0.00E+00
CRUK0009_SU_T1-R4	0.00E+00
CRUK0010_SU_T1-R1	0.00E+00
CRUK0010_SU_T1-R2	0.00E+00
CRUK0011_SU_T1-R1	0.00E+00
CRUK0011_SU_T1-R2	0.00E+00
CRUK0011_SU_T1-R3	0.00E+00
CRUK0012_SU_T1-R1	0.00E+00
CRUK0012_SU_T1-R2	0.00E+00
CRUK0013_SU_T1-R1	0.00E+00
CRUK0013_SU_T1-R2	0.00E+00
CRUK0013_SU_T1-R3	0.00E+00
CRUK0014_SU_T1-R1	0.00E+00
CRUK0014_SU_T1-R2	0.00E+00
CRUK0015_SU_T1-R1	0.00E+00
CRUK0015_SU_T1-R2	0.00E+00
CRUK0016_SU_T1-R1	0.00E+00
CRUK0016_SU_T1-R2	0.00E+00
CRUK0017_SU_T1-R1	0.00E+00
CRUK0017_SU_T1-R2	0.00E+00
CRUK0017_SU_T1-R3	0.00E+00
CRUK0017_SU_T1-R4	0.00E+00
CRUK0018_SU_T1-R1	0.00E+00
CRUK0018_SU_T1-R2	0.00E+00
CRUK0018_SU_T1-R3	0.00E+00
CRUK0018_SU_T1-R4	0.00E+00
CRUK0019_SU_T1-R1	0.00E+00
CRUK0019_SU_T1-R2	0.00E+00
CRUK0020_SU_T1-R1	0.00E+00
CRUK0020_SU_T1-R2	0.00E+00
CRUK0021_SU_T1-R1	0.00E+00
CRUK0021_SU_T1-R2	0.00E+00
CRUK0022_SU_T1-R1	0.00E+00
CRUK0022_SU_T1-R2	0.00E+00
CRUK0023_SU_T1-R1	0.00E+00
CRUK0023_SU_T1-R2	0.00E+00
CRUK0023_SU_T1-R3	0.00E+00
CRUK0023_SU_T1-R4	0.00E+00
CRUK0024_SU_T1-R1	0.00E+00
CRUK0024_SU_T1-R2	0.00E+00
CRUK0024_SU_T1-R3	0.00E+00
CRUK0024_SU_T1-R4	0.00E+00
CRUK0024_SU_T1-R6	0.00E+00
CRUK0025_SU_T1-R1	0.00E+00
CRUK0025_SU_T1-R2	0.00E+00
CRUK0025_SU_T1-R3	0.00E+00
CRUK0026_SU_T1-R1	0.00E+00
CRUK0026_SU_T1-R2	0.00E+00
CRUK0027_SU_T1-R1	0.00E+00
CRUK0027_SU_T1-R2	0.00E+00
CRUK0027_SU_T1-R3	0.00E+00
CRUK0028_SU_T1-R1	0.00E+00
CRUK0028_SU_T1-R2	0.00E+00
CRUK0029_SU_T1-R1	0.00E+00
CRUK0029_SU_T1-R2	0.00E+00
CRUK0029_SU_T1-R4	0.00E+00
CRUK0029_SU_T1-R5	0.00E+00
CRUK0029_SU_T1-R6	0.00E+00
CRUK0029_SU_T1-R7	0.00E+00
CRUK0029_SU_T1-R8	0.00E+00
CRUK0030_SU_T2-R1	0.00E+00
CRUK0030_SU_T2-R2	0.00E+00
CRUK0030_SU_T2-R3	0.00E+00
CRUK0031_SU_T1-R1	0.00E+00
CRUK0031_SU_T1-R2	0.00E+00
CRUK0031_SU_T1-R3	0.00E+00
CRUK0032_SU_T1-R1	0.00E+00
CRUK0032_SU_T1-R2	0.00E+00
CRUK0032_SU_T1-R3	0.00E+00
CRUK0032_SU_T1-R4	0.00E+00
CRUK0033_SU_T1-R1	0.00E+00
CRUK0033_SU_T1-R2	0.00E+00
CRUK0034_SU_T1-R1	0.00E+00
CRUK0034_SU_T1-R2	0.00E+00
CRUK0034_SU_T1-R3	0.00E+00
CRUK0035_SU_T1-R1	0.00E+00
CRUK0035_SU_T1-R2	0.00E+00
CRUK0035_SU_T1-R3	0.00E+00
CRUK0036_SU_T1-R1	0.00E+00
CRUK0036_SU_T1-R2	0.00E+00
CRUK0036_SU_T1-R3	0.00E+00
