Samples	SBS96A	SBS96B
CRUK0001_SU_T1-R1	132	168
CRUK0001_SU_T1-R2	127	112
CRUK0001_SU_T1-R3	103	157
CRUK0002_SU_T1-R1	131	219
CRUK0002_SU_T1-R2	169	186
CRUK0002_SU_T1-R3	44	169
CRUK0003_SU_T1-R1	580	82
CRUK0003_SU_T1-R2	139	180
CRUK0003_SU_T1-R3	144	192
CRUK0003_SU_T1-R4	364	98
CRUK0003_SU_T1-R6	106	198
CRUK0004_SU_T1-R1	122	191
CRUK0004_SU_T1-R2	78	29
CRUK0004_SU_T1-R3	211	88
CRUK0004_SU_T1-R4	126	60
CRUK0005_SU_T1-R1	100	112
CRUK0005_SU_T1-R2	199	173
CRUK0005_SU_T1-R3	142	148
CRUK0005_SU_T1-R4	214	162
CRUK0006_SU_T1-R1	145	261
CRUK0006_SU_T1-R2	163	290
CRUK0007_SU_T1-R1	64	20
CRUK0007_SU_T1-R2	123	129
CRUK0008_SU_T1-R1	194	89
CRUK0008_SU_T1-R2	186	162
CRUK0009_SU_T1-R1	3982	378
CRUK0009_SU_T1-R2	1559	167
CRUK0009_SU_T1-R3	415	178
CRUK0009_SU_T1-R4	1358	258
CRUK0010_SU_T1-R1	2131	476
CRUK0010_SU_T1-R2	698	366
CRUK0011_SU_T1-R1	111	172
CRUK0011_SU_T1-R2	120	198
CRUK0011_SU_T1-R3	278	151
CRUK0012_SU_T1-R1	335	53
CRUK0012_SU_T1-R2	110	21
CRUK0013_SU_T1-R1	582	232
CRUK0013_SU_T1-R2	409	185
CRUK0013_SU_T1-R3	2301	216
CRUK0014_SU_T1-R1	155	72
CRUK0014_SU_T1-R2	54	98
CRUK0015_SU_T1-R1	288	129
CRUK0015_SU_T1-R2	164	48
CRUK0016_SU_T1-R1	1517	393
CRUK0016_SU_T1-R2	208	671
CRUK0017_SU_T1-R1	398	37
CRUK0017_SU_T1-R2	98	195
CRUK0017_SU_T1-R3	146	329
CRUK0017_SU_T1-R4	96	380
CRUK0018_SU_T1-R1	90	344
CRUK0018_SU_T1-R2	492	213
CRUK0018_SU_T1-R3	85	194
CRUK0018_SU_T1-R4	87	216
CRUK0019_SU_T1-R1	238	186
CRUK0019_SU_T1-R2	2146	439
CRUK0020_SU_T1-R1	226	915
CRUK0020_SU_T1-R2	119	455
CRUK0021_SU_T1-R1	106	22
CRUK0021_SU_T1-R2	131	100
CRUK0022_SU_T1-R1	673	226
CRUK0022_SU_T1-R2	137	185
CRUK0023_SU_T1-R1	137	65
CRUK0023_SU_T1-R2	180	122
CRUK0023_SU_T1-R3	187	114
CRUK0023_SU_T1-R4	81	22
CRUK0024_SU_T1-R1	161	194
CRUK0024_SU_T1-R2	31	5
CRUK0024_SU_T1-R3	642	242
CRUK0024_SU_T1-R4	308	305
CRUK0024_SU_T1-R6	417	267
CRUK0025_SU_T1-R1	1411	236
CRUK0025_SU_T1-R2	2624	422
CRUK0025_SU_T1-R3	1121	114
CRUK0026_SU_T1-R1	147	54
CRUK0026_SU_T1-R2	184	228
CRUK0027_SU_T1-R1	5	40
CRUK0027_SU_T1-R2	39	293
CRUK0027_SU_T1-R3	17	10
CRUK0028_SU_T1-R1	202	79
CRUK0028_SU_T1-R2	186	42
CRUK0029_SU_T1-R1	83	43
CRUK0029_SU_T1-R2	149	141
CRUK0029_SU_T1-R4	904	219
CRUK0029_SU_T1-R5	261	17
CRUK0029_SU_T1-R6	765	260
CRUK0029_SU_T1-R7	62	163
CRUK0029_SU_T1-R8	628	71
