Samples	SBS96A	SBS96B
CRUK0001_SU_T1-R1	1.34E+00	1.34E+00
CRUK0001_SU_T1-R2	1.19E+00	1.19E+00
CRUK0001_SU_T1-R3	1.55E+00	1.55E+00
CRUK0002_SU_T1-R1	1.54E+00	1.54E+00
CRUK0002_SU_T1-R2	1.44E+00	1.44E+00
CRUK0002_SU_T1-R3	1.22E+00	1.22E+00
CRUK0003_SU_T1-R1	1.74E+00	1.74E+00
CRUK0003_SU_T1-R2	1.44E+00	1.44E+00
CRUK0003_SU_T1-R3	1.50E+00	1.50E+00
CRUK0003_SU_T1-R4	1.65E+00	1.65E+00
CRUK0003_SU_T1-R6	1.40E+00	1.40E+00
CRUK0004_SU_T1-R1	1.43E+00	1.43E+00
CRUK0004_SU_T1-R2	7.63E-01	7.62E-01
CRUK0004_SU_T1-R3	1.33E+00	1.33E+00
CRUK0004_SU_T1-R4	1.14E+00	1.14E+00
CRUK0005_SU_T1-R1	1.07E+00	1.07E+00
CRUK0005_SU_T1-R2	1.60E+00	1.60E+00
CRUK0005_SU_T1-R3	1.65E+00	1.65E+00
CRUK0005_SU_T1-R4	1.64E+00	1.64E+00
CRUK0006_SU_T1-R1	2.09E+00	2.09E+00
CRUK0006_SU_T1-R2	1.90E+00	1.90E+00
CRUK0007_SU_T1-R1	6.97E-01	6.94E-01
CRUK0007_SU_T1-R2	1.47E+00	1.47E+00
CRUK0008_SU_T1-R1	1.34E+00	1.34E+00
CRUK0008_SU_T1-R2	1.58E+00	1.58E+00
CRUK0009_SU_T1-R1	5.63E+00	5.63E+00
CRUK0009_SU_T1-R2	2.65E+00	2.65E+00
CRUK0009_SU_T1-R3	2.20E+00	2.20E+00
CRUK0009_SU_T1-R4	3.64E+00	3.64E+00
CRUK0010_SU_T1-R1	4.45E+00	4.45E+00
CRUK0010_SU_T1-R2	2.18E+00	2.18E+00
CRUK0011_SU_T1-R1	1.69E+00	1.69E+00
CRUK0011_SU_T1-R2	1.77E+00	1.77E+00
CRUK0011_SU_T1-R3	1.61E+00	1.61E+00
CRUK0012_SU_T1-R1	1.31E+00	1.31E+00
CRUK0012_SU_T1-R2	7.71E-01	7.71E-01
CRUK0013_SU_T1-R1	2.25E+00	2.25E+00
CRUK0013_SU_T1-R2	1.75E+00	1.75E+00
CRUK0013_SU_T1-R3	3.69E+00	3.69E+00
CRUK0014_SU_T1-R1	1.18E+00	1.18E+00
CRUK0014_SU_T1-R2	9.40E-01	9.40E-01
CRUK0015_SU_T1-R1	1.49E+00	1.49E+00
CRUK0015_SU_T1-R2	9.96E-01	9.96E-01
CRUK0016_SU_T1-R1	3.16E+00	3.16E+00
CRUK0016_SU_T1-R2	3.00E+00	3.00E+00
CRUK0017_SU_T1-R1	1.28E+00	1.28E+00
CRUK0017_SU_T1-R2	1.45E+00	1.45E+00
CRUK0017_SU_T1-R3	1.87E+00	1.87E+00
CRUK0017_SU_T1-R4	2.01E+00	2.01E+00
CRUK0018_SU_T1-R1	1.95E+00	1.95E+00
CRUK0018_SU_T1-R2	2.15E+00	2.15E+00
CRUK0018_SU_T1-R3	1.54E+00	1.54E+00
CRUK0018_SU_T1-R4	1.68E+00	1.68E+00
CRUK0019_SU_T1-R1	1.60E+00	1.60E+00
CRUK0019_SU_T1-R2	3.43E+00	3.43E+00
CRUK0020_SU_T1-R1	3.40E+00	3.40E+00
CRUK0020_SU_T1-R2	2.56E+00	2.56E+00
CRUK0021_SU_T1-R1	7.12E-01	7.12E-01
CRUK0021_SU_T1-R2	1.27E+00	1.27E+00
CRUK0022_SU_T1-R1	1.82E+00	1.82E+00
CRUK0022_SU_T1-R2	1.33E+00	1.33E+00
CRUK0023_SU_T1-R1	1.15E+00	1.15E+00
CRUK0023_SU_T1-R2	1.72E+00	1.72E+00
CRUK0023_SU_T1-R3	1.45E+00	1.45E+00
CRUK0023_SU_T1-R4	7.58E-01	7.59E-01
