Samples	SBS96A	SBS96B	SBS96C
CRUK0001_SU_T1-R1	157	2	141
CRUK0001_SU_T1-R2	144	0	95
CRUK0001_SU_T1-R3	83	175	2
CRUK0002_SU_T1-R1	121	171	58
CRUK0002_SU_T1-R2	155	159	41
CRUK0002_SU_T1-R3	53	47	113
CRUK0003_SU_T1-R1	563	74	25
CRUK0003_SU_T1-R2	157	0	162
CRUK0003_SU_T1-R3	162	0	174
CRUK0003_SU_T1-R4	358	64	40
CRUK0003_SU_T1-R6	129	16	159
CRUK0004_SU_T1-R1	139	38	136
CRUK0004_SU_T1-R2	79	13	15
CRUK0004_SU_T1-R3	212	45	42
CRUK0004_SU_T1-R4	126	33	27
CRUK0005_SU_T1-R1	92	96	24
CRUK0005_SU_T1-R2	179	169	24
CRUK0005_SU_T1-R3	123	156	11
CRUK0005_SU_T1-R4	194	162	20
CRUK0006_SU_T1-R1	117	275	14
CRUK0006_SU_T1-R2	128	321	4
CRUK0007_SU_T1-R1	63	13	8
CRUK0007_SU_T1-R2	109	126	17
CRUK0008_SU_T1-R1	197	39	47
CRUK0008_SU_T1-R2	170	148	30
CRUK0009_SU_T1-R1	3863	396	101
CRUK0009_SU_T1-R2	1512	170	44
CRUK0009_SU_T1-R3	382	199	12
CRUK0009_SU_T1-R4	1294	287	35
CRUK0010_SU_T1-R1	2035	487	85
CRUK0010_SU_T1-R2	718	137	209
CRUK0011_SU_T1-R1	92	180	11
CRUK0011_SU_T1-R2	101	200	17
CRUK0011_SU_T1-R3	270	107	52
CRUK0012_SU_T1-R1	318	67	3
CRUK0012_SU_T1-R2	104	27	0
CRUK0013_SU_T1-R1	573	151	90
CRUK0013_SU_T1-R2	410	96	88
CRUK0013_SU_T1-R3	2225	246	46
CRUK0014_SU_T1-R1	148	59	20
CRUK0014_SU_T1-R2	64	12	76
CRUK0015_SU_T1-R1	277	103	37
CRUK0015_SU_T1-R2	162	28	22
CRUK0016_SU_T1-R1	1509	209	192
CRUK0016_SU_T1-R2	143	725	11
CRUK0017_SU_T1-R1	380	53	2
CRUK0017_SU_T1-R2	80	194	19
CRUK0017_SU_T1-R3	115	337	23
CRUK0017_SU_T1-R4	82	294	100
CRUK0018_SU_T1-R1	100	137	197
CRUK0018_SU_T1-R2	479	154	72
CRUK0018_SU_T1-R3	73	168	38
CRUK0018_SU_T1-R4	71	201	31
CRUK0019_SU_T1-R1	230	134	60
CRUK0019_SU_T1-R2	2139	210	236
CRUK0020_SU_T1-R1	144	991	6
CRUK0020_SU_T1-R2	86	445	43
CRUK0021_SU_T1-R1	102	19	7
CRUK0021_SU_T1-R2	130	60	41
CRUK0022_SU_T1-R1	670	125	104
CRUK0022_SU_T1-R2	147	69	106
CRUK0023_SU_T1-R1	127	67	8
CRUK0023_SU_T1-R2	170	99	33
CRUK0023_SU_T1-R3	176	102	23
CRUK0023_SU_T1-R4	78	17	8
CRUK0024_SU_T1-R1	135	212	8
CRUK0024_SU_T1-R2	31	3	2
