Samples	SBS96A	SBS96B	SBS96C
CRUK0001_SU_T1-R1	1.50E+00	1.01E+00	1.34E+00
CRUK0001_SU_T1-R2	1.40E+00	9.06E-01	1.27E+00
CRUK0001_SU_T1-R3	1.49E+00	1.47E+00	2.91E-01
CRUK0002_SU_T1-R1	1.54E+00	1.76E+00	1.71E+00
CRUK0002_SU_T1-R2	1.52E+00	1.88E+00	1.81E+00
CRUK0002_SU_T1-R3	1.41E+00	9.19E-01	1.52E+00
CRUK0003_SU_T1-R1	1.66E+00	1.51E+00	9.32E-01
CRUK0003_SU_T1-R2	1.50E+00	7.96E-01	1.54E+00
CRUK0003_SU_T1-R3	1.75E+00	1.04E+00	1.76E+00
CRUK0003_SU_T1-R4	1.69E+00	1.30E+00	1.16E+00
CRUK0003_SU_T1-R6	1.61E+00	9.94E-01	1.55E+00
CRUK0004_SU_T1-R1	1.48E+00	1.13E+00	1.44E+00
CRUK0004_SU_T1-R2	7.90E-01	6.63E-01	5.38E-01
CRUK0004_SU_T1-R3	1.43E+00	1.17E+00	9.78E-01
CRUK0004_SU_T1-R4	1.16E+00	9.62E-01	7.19E-01
CRUK0005_SU_T1-R1	1.07E+00	1.04E+00	6.90E-01
CRUK0005_SU_T1-R2	1.50E+00	1.60E+00	8.39E-01
CRUK0005_SU_T1-R3	1.51E+00	1.49E+00	6.55E-01
CRUK0005_SU_T1-R4	1.69E+00	1.80E+00	8.32E-01
CRUK0006_SU_T1-R1	1.87E+00	1.95E+00	8.08E-01
CRUK0006_SU_T1-R2	1.88E+00	1.87E+00	4.73E-01
CRUK0007_SU_T1-R1	6.70E-01	5.55E-01	7.00E-01
CRUK0007_SU_T1-R2	1.45E+00	1.44E+00	8.91E-01
CRUK0008_SU_T1-R1	1.45E+00	9.62E-01	1.17E+00
CRUK0008_SU_T1-R2	1.57E+00	1.62E+00	1.12E+00
CRUK0009_SU_T1-R1	4.90E+00	4.67E+00	1.96E+00
CRUK0009_SU_T1-R2	2.39E+00	2.50E+00	1.11E+00
CRUK0009_SU_T1-R3	2.18E+00	2.16E+00	7.94E-01
CRUK0009_SU_T1-R4	3.03E+00	2.88E+00	1.17E+00
CRUK0010_SU_T1-R1	3.84E+00	3.80E+00	1.88E+00
CRUK0010_SU_T1-R2	2.39E+00	2.09E+00	2.03E+00
CRUK0011_SU_T1-R1	1.58E+00	1.53E+00	5.62E-01
CRUK0011_SU_T1-R2	1.73E+00	1.70E+00	6.04E-01
CRUK0011_SU_T1-R3	1.44E+00	1.33E+00	1.31E+00
CRUK0012_SU_T1-R1	1.15E+00	1.15E+00	3.62E-02
CRUK0012_SU_T1-R2	6.91E-01	6.78E-01	3.24E-01
CRUK0013_SU_T1-R1	2.17E+00	1.86E+00	1.71E+00
CRUK0013_SU_T1-R2	1.83E+00	1.70E+00	1.43E+00
CRUK0013_SU_T1-R3	3.28E+00	3.04E+00	1.10E+00
CRUK0014_SU_T1-R1	1.14E+00	1.13E+00	8.29E-01
CRUK0014_SU_T1-R2	1.10E+00	7.28E-01	1.04E+00
CRUK0015_SU_T1-R1	1.47E+00	1.31E+00	1.10E+00
CRUK0015_SU_T1-R2	1.04E+00	8.77E-01	7.12E-01
CRUK0016_SU_T1-R1	3.28E+00	2.65E+00	2.30E+00
CRUK0016_SU_T1-R2	2.75E+00	2.67E+00	8.66E-01
CRUK0017_SU_T1-R1	1.33E+00	1.34E+00	2.50E-01
CRUK0017_SU_T1-R2	1.36E+00	1.36E+00	6.43E-01
CRUK0017_SU_T1-R3	1.91E+00	1.87E+00	8.23E-01
CRUK0017_SU_T1-R4	1.97E+00	1.90E+00	1.72E+00
CRUK0018_SU_T1-R1	2.07E+00	1.79E+00	2.49E+00
CRUK0018_SU_T1-R2	2.11E+00	1.87E+00	1.49E+00
CRUK0018_SU_T1-R3	1.47E+00	1.69E+00	1.17E+00
CRUK0018_SU_T1-R4	1.59E+00	1.55E+00	1.09E+00
CRUK0019_SU_T1-R1	1.63E+00	1.54E+00	1.41E+00
CRUK0019_SU_T1-R2	3.77E+00	3.47E+00	2.47E+00
CRUK0020_SU_T1-R1	3.63E+00	3.55E+00	5.63E-01
CRUK0020_SU_T1-R2	2.42E+00	2.49E+00	1.06E+00
CRUK0021_SU_T1-R1	7.17E-01	5.80E-01	5.38E-01
CRUK0021_SU_T1-R2	1.31E+00	1.24E+00	9.01E-01
CRUK0022_SU_T1-R1	1.97E+00	1.89E+00	1.59E+00
CRUK0022_SU_T1-R2	1.51E+00	1.20E+00	1.40E+00
CRUK0023_SU_T1-R1	1.13E+00	1.07E+00	4.94E-01
CRUK0023_SU_T1-R2	1.72E+00	1.51E+00	8.91E-01
