Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0001_SU_T1-R1	300	0.924	139.907	46.636%	21.967	38.193%	0.24122	0.892
CRUK0001_SU_T1-R2	239	0.905	124.38	52.042%	17.957	42.864%	0.26865	0.853
CRUK0001_SU_T1-R3	260	0.862	154.954	59.598%	22.434	51.494%	0.31473	0.781
CRUK0002_SU_T1-R1	350	0.832	207.406	59.259%	35.387	56.549%	0.27532	0.756
CRUK0002_SU_T1-R2	355	0.833	200.224	56.401%	34.331	56.1%	0.2649	0.743
CRUK0002_SU_T1-R3	213	0.916	121.03	56.822%	17.884	40.344%	0.31962	0.889
CRUK0003_SU_T1-R1	662	0.968	170.261	25.719%	25.222	25.202%	0.06743	0.94
CRUK0003_SU_T1-R2	319	0.947	137.1	42.978%	19.492	32.127%	0.20247	0.925
CRUK0003_SU_T1-R3	336	0.944	147.605	43.93%	22.097	32.962%	0.23577	0.924
CRUK0003_SU_T1-R4	462	0.951	158.422	34.29%	21.204	31.068%	0.12363	0.904
CRUK0003_SU_T1-R6	304	0.947	138.215	45.465%	18.298	32.479%	0.25069	0.923
CRUK0004_SU_T1-R1	313	0.928	138.18	44.147%	19.663	38.161%	0.18499	0.883
CRUK0004_SU_T1-R2	107	0.873	68.974	64.462%	8.788	48.747%	0.42264	0.792
CRUK0004_SU_T1-R3	299	0.926	116.278	38.889%	16.669	38.012%	0.16081	0.851
CRUK0004_SU_T1-R4	186	0.874	103.685	55.745%	13.792	48.701%	0.31221	0.758
CRUK0005_SU_T1-R1	212	0.876	109.44	51.623%	15.445	48.36%	0.25726	0.757
CRUK0005_SU_T1-R2	372	0.913	141.976	38.166%	20.256	41.074%	0.13672	0.775
CRUK0005_SU_T1-R3	290	0.852	145.821	50.283%	20.905	53.03%	0.21518	0.632
CRUK0005_SU_T1-R4	376	0.926	140.792	37.445%	19.241	37.677%	0.12404	0.822
CRUK0006_SU_T1-R1	406	0.823	234.653	57.796%	39.222	57.078%	0.25393	0.709
CRUK0006_SU_T1-R2	453	0.87	224.559	49.572%	36.585	49.781%	0.20478	0.779
CRUK0007_SU_T1-R1	84	0.82	67.583	80.456%	9.167	57.747%	0.57289	0.738
CRUK0007_SU_T1-R2	252	0.824	146.82	58.262%	23.937	57.058%	0.31403	0.704
CRUK0008_SU_T1-R1	283	0.879	147.431	52.096%	20.213	48.332%	0.31599	0.761
CRUK0008_SU_T1-R2	348	0.865	169.677	48.758%	25.489	50.123%	0.25044	0.714
CRUK0009_SU_T1-R1	4360	0.994	481.929	11.053%	73.643	11.022%	0.00994	0.989
CRUK0009_SU_T1-R2	1726	0.989	281.121	16.287%	38.534	14.839%	0.02652	0.979
CRUK0009_SU_T1-R3	593	0.953	190.458	32.118%	25.268	30.347%	0.09511	0.897
CRUK0009_SU_T1-R4	1616	0.987	266.796	16.51%	37.528	15.901%	0.02726	0.975
