Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0001_SU_T1-R1	142	10	28	5	115
CRUK0001_SU_T1-R2	132	4	25	0	78
CRUK0001_SU_T1-R3	39	25	131	65	0
CRUK0002_SU_T1-R1	94	31	0	193	32
CRUK0002_SU_T1-R2	130	36	0	171	18
CRUK0002_SU_T1-R3	40	0	0	85	88
CRUK0003_SU_T1-R1	528	75	35	1	23
CRUK0003_SU_T1-R2	154	10	17	0	138
CRUK0003_SU_T1-R3	155	8	26	0	147
CRUK0003_SU_T1-R4	332	24	49	25	32
CRUK0003_SU_T1-R6	109	40	29	0	126
CRUK0004_SU_T1-R1	121	32	34	16	110
CRUK0004_SU_T1-R2	70	18	6	0	13
CRUK0004_SU_T1-R3	197	37	12	19	34
CRUK0004_SU_T1-R4	113	34	12	4	23
CRUK0005_SU_T1-R1	77	79	18	19	19
CRUK0005_SU_T1-R2	148	148	44	10	22
CRUK0005_SU_T1-R3	98	153	27	0	12
CRUK0005_SU_T1-R4	167	135	31	26	17
CRUK0006_SU_T1-R1	31	10	285	70	10
CRUK0006_SU_T1-R2	43	51	268	90	1
CRUK0007_SU_T1-R1	58	0	4	17	5
CRUK0007_SU_T1-R2	92	36	0	121	3
CRUK0008_SU_T1-R1	180	28	21	17	37
CRUK0008_SU_T1-R2	122	27	151	22	26
CRUK0009_SU_T1-R1	3679	174	240	186	81
CRUK0009_SU_T1-R2	1445	83	66	99	33
CRUK0009_SU_T1-R3	340	82	79	86	6
CRUK0009_SU_T1-R4	1213	103	135	143	22
CRUK0010_SU_T1-R1	1881	229	253	178	66
CRUK0010_SU_T1-R2	676	58	43	120	167
CRUK0011_SU_T1-R1	74	155	7	38	9
CRUK0011_SU_T1-R2	78	142	0	90	8
CRUK0011_SU_T1-R3	253	45	12	81	38
CRUK0012_SU_T1-R1	304	28	9	47	0
CRUK0012_SU_T1-R2	99	7	2	23	0
CRUK0013_SU_T1-R1	535	121	24	62	72
CRUK0013_SU_T1-R2	388	71	0	67	68
CRUK0013_SU_T1-R3	2104	200	142	26	45
CRUK0014_SU_T1-R1	140	32	1	40	14
CRUK0014_SU_T1-R2	57	5	14	14	62
CRUK0015_SU_T1-R1	255	84	14	35	29
CRUK0015_SU_T1-R2	154	27	0	14	17
CRUK0016_SU_T1-R1	1412	127	131	81	159
CRUK0016_SU_T1-R2	0	17	795	55	12
CRUK0017_SU_T1-R1	354	49	29	0	3
CRUK0017_SU_T1-R2	49	128	71	29	16
CRUK0017_SU_T1-R3	68	231	89	68	19
CRUK0017_SU_T1-R4	33	185	121	55	82
CRUK0018_SU_T1-R1	63	125	78	14	154
CRUK0018_SU_T1-R2	438	126	41	41	59
CRUK0018_SU_T1-R3	51	146	35	16	31
CRUK0018_SU_T1-R4	43	155	48	32	25
CRUK0019_SU_T1-R1	207	39	0	141	37
CRUK0019_SU_T1-R2	2058	66	70	207	184
CRUK0020_SU_T1-R1	0	442	391	308	0
CRUK0020_SU_T1-R2	44	378	65	49	38
CRUK0021_SU_T1-R1	96	17	4	6	5
CRUK0021_SU_T1-R2	116	35	26	21	33
CRUK0022_SU_T1-R1	637	75	24	80	83
CRUK0022_SU_T1-R2	135	21	2	80	84
CRUK0023_SU_T1-R1	110	58	24	2	8
CRUK0023_SU_T1-R2	154	70	10	43	25
CRUK0023_SU_T1-R3	156	80	26	20	19
CRUK0023_SU_T1-R4	74	13	5	5	6
CRUK0024_SU_T1-R1	106	212	25	0	12
CRUK0024_SU_T1-R2	28	3	0	3	2
CRUK0024_SU_T1-R3	540	219	60	35	30
CRUK0024_SU_T1-R4	221	264	55	53	20
CRUK0024_SU_T1-R6	324	260	49	33	18
CRUK0025_SU_T1-R1	1303	114	28	170	32
CRUK0025_SU_T1-R2	2403	180	150	242	71
CRUK0025_SU_T1-R3	1031	59	75	41	29
CRUK0026_SU_T1-R1	127	21	29	13	11
CRUK0026_SU_T1-R2	182	35	40	30	125
CRUK0027_SU_T1-R1	5	0	7	2	31
CRUK0027_SU_T1-R2	0	159	129	21	23
CRUK0027_SU_T1-R3	15	2	3	4	3
CRUK0028_SU_T1-R1	206	5	0	20	50
CRUK0028_SU_T1-R2	174	21	3	18	12
CRUK0029_SU_T1-R1	79	18	4	5	20
CRUK0029_SU_T1-R2	114	43	66	35	32
CRUK0029_SU_T1-R4	790	78	160	54	41
CRUK0029_SU_T1-R5	241	14	15	2	6
CRUK0029_SU_T1-R6	662	75	145	99	44
CRUK0029_SU_T1-R7	53	38	22	42	70
CRUK0029_SU_T1-R8	585	18	46	23	27
CRUK0030_SU_T2-R1	0	53	0	122	65
CRUK0030_SU_T2-R2	175	18	8	27	37
CRUK0030_SU_T2-R3	187	13	0	56	104
CRUK0031_SU_T1-R1	1561	204	180	49	61
CRUK0031_SU_T1-R2	831	219	110	70	60
CRUK0031_SU_T1-R3	1078	358	86	160	234
CRUK0032_SU_T1-R1	7	20	0	49	177
CRUK0032_SU_T1-R2	201	116	86	101	51
CRUK0032_SU_T1-R3	214	35	41	8	146
CRUK0032_SU_T1-R4	174	226	33	78	44
CRUK0033_SU_T1-R1	297	31	0	62	26
CRUK0033_SU_T1-R2	313	41	17	57	140
CRUK0034_SU_T1-R1	91	11	9	7	96
