Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0001_SU_T1-R1	2.05E+00	8.64E-01	1.93E+00	1.33E+00	1.39E+00
CRUK0001_SU_T1-R2	2.73E+00	7.64E-01	2.67E+00	1.16E+00	1.09E+00
CRUK0001_SU_T1-R3	1.68E+00	1.31E+00	4.76E+00	4.38E+00	2.15E-01
CRUK0002_SU_T1-R1	3.04E+00	1.52E+00	1.91E+00	4.30E+00	1.34E+00
CRUK0002_SU_T1-R2	3.30E+00	2.05E+00	2.33E+00	4.56E+00	1.47E+00
CRUK0002_SU_T1-R3	1.80E+00	2.60E-01	1.72E+00	2.43E+00	1.74E+00
CRUK0003_SU_T1-R1	5.37E+00	1.86E+00	5.38E+00	1.70E+00	8.58E-01
CRUK0003_SU_T1-R2	2.96E+00	8.42E-01	3.11E+00	7.56E-01	1.47E+00
CRUK0003_SU_T1-R3	3.29E+00	1.07E+00	3.96E+00	8.50E-01	1.92E+00
CRUK0003_SU_T1-R4	3.99E+00	1.26E+00	3.78E+00	2.00E+00	9.71E-01
CRUK0003_SU_T1-R6	2.55E+00	1.26E+00	3.01E+00	7.81E-01	1.49E+00
CRUK0004_SU_T1-R1	2.44E+00	1.12E+00	2.82E+00	1.57E+00	1.45E+00
CRUK0004_SU_T1-R2	1.28E+00	6.37E-01	1.13E+00	3.98E-01	4.96E-01
CRUK0004_SU_T1-R3	2.25E+00	1.03E+00	2.18E+00	1.08E+00	8.15E-01
CRUK0004_SU_T1-R4	2.54E+00	9.85E-01	2.65E+00	1.20E+00	6.32E-01
CRUK0005_SU_T1-R1	1.37E+00	1.12E+00	1.16E+00	1.00E+00	6.74E-01
CRUK0005_SU_T1-R2	2.14E+00	1.83E+00	1.98E+00	1.44E+00	7.10E-01
CRUK0005_SU_T1-R3	2.22E+00	1.80E+00	2.39E+00	1.10E+00	6.10E-01
CRUK0005_SU_T1-R4	2.61E+00	1.74E+00	2.54E+00	1.67E+00	7.08E-01
CRUK0006_SU_T1-R1	2.67E+00	1.74E+00	1.01E+01	1.01E+01	7.25E-01
CRUK0006_SU_T1-R2	2.42E+00	1.87E+00	7.30E+00	8.15E+00	3.34E-01
CRUK0007_SU_T1-R1	1.01E+00	0.00E+00	9.74E-01	6.31E-01	5.54E-01
CRUK0007_SU_T1-R2	2.52E+00	1.66E+00	1.62E+00	3.23E+00	5.09E-01
CRUK0008_SU_T1-R1	4.27E+00	1.20E+00	5.31E+00	2.35E+00	1.17E+00
