NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	223.408	51.33	31.754	42.882	0.293	0.811	0.0
2	222.807	51.231	31.617	43.024	0.292	0.807	10500.0
3	225.45	52.164	32.187	43.908	0.3	0.8	12000.0
4	223.401	51.53	31.966	43.149	0.296	0.81	0.0
5	221.995	51.455	31.496	42.802	0.295	0.811	8500.0
6	223.802	51.378	31.777	42.997	0.293	0.81	11000.0
7	226.255	52.275	32.437	44.033	0.3	0.8	0.0
8	222.302	51.503	31.535	43.057	0.295	0.809	11500.0
9	221.737	51.186	31.483	42.891	0.293	0.809	15500.0
10	224.014	51.675	31.685	42.905	0.297	0.809	12000.0
11	221.421	51.241	31.521	42.867	0.296	0.811	9000.0
12	225.201	51.91	32.397	43.866	0.294	0.802	18500.0
13	227.844	52.105	32.595	44.085	0.296	0.798	14000.0
14	224.216	51.858	31.936	43.241	0.3	0.808	9000.0
15	224.826	51.841	31.926	43.16	0.299	0.808	14500.0
16	222.592	51.509	31.731	43.192	0.296	0.808	0.0
17	222.392	51.249	31.784	43.132	0.292	0.808	13000.0
18	222.145	51.362	31.534	43.06	0.295	0.808	13000.0
19	223.493	51.893	31.779	43.297	0.299	0.807	12500.0
20	224.925	52.06	32.314	43.981	0.298	0.8	0.0
21	221.53	51.223	31.273	42.892	0.294	0.808	11000.0
22	221.748	50.998	31.523	42.688	0.29	0.811	18000.0
23	222.332	51.359	31.597	42.968	0.294	0.811	11000.0
24	222.16	51.352	31.59	42.971	0.296	0.809	14000.0
25	225.528	51.993	32.529	44.129	0.298	0.797	11000.0
26	226.86	52.314	32.567	44.141	0.298	0.798	11500.0
27	221.01	51.176	31.363	42.88	0.291	0.811	9500.0
28	222.322	51.355	31.694	42.898	0.293	0.809	10000.0
29	223.934	51.692	32.139	43.202	0.3	0.808	15000.0
30	221.734	51.388	31.533	42.98	0.295	0.809	12500.0
31	224.915	51.609	31.991	43.285	0.297	0.806	11500.0
32	227.12	52.34	32.578	44.329	0.299	0.795	16000.0
33	222.542	51.335	31.65	42.947	0.295	0.811	16000.0
34	222.661	51.574	31.615	43.244	0.296	0.807	13500.0
35	226.476	52.212	32.705	44.199	0.295	0.799	11500.0
36	223.268	51.364	31.699	42.875	0.295	0.81	0.0
37	225.908	52.079	32.332	43.846	0.296	0.801	18500.0
38	225.261	51.93	32.334	43.79	0.294	0.801	14500.0
39	222.686	51.344	31.817	43.058	0.299	0.81	8000.0
40	226.421	52.302	32.659	44.338	0.299	0.796	13500.0
41	223.006	51.673	31.655	43.042	0.295	0.81	16500.0
42	222.827	51.492	31.648	43.003	0.296	0.808	9000.0
43	223.119	51.281	31.883	43.093	0.293	0.81	10500.0
44	225.429	52.228	32.291	43.925	0.298	0.8	9500.0
45	222.323	51.533	31.596	42.992	0.297	0.81	9500.0
46	226.157	52.175	32.549	44.055	0.298	0.8	9500.0
47	222.522	51.276	31.569	42.935	0.293	0.809	14500.0
48	222.601	51.408	31.581	42.957	0.295	0.808	14000.0
49	224.385	51.422	31.821	43.165	0.296	0.807	9500.0
50	222.685	51.444	31.673	43.006	0.293	0.81	9000.0
51	224.818	52.264	32.231	43.91	0.302	0.8	18000.0
52	225.865	52.262	32.311	43.962	0.299	0.801	0.0
53	228.105	52.431	32.771	44.138	0.3	0.8	0.0
54	222.353	51.112	31.682	42.802	0.293	0.811	13000.0
55	222.775	51.509	31.59	43.067	0.298	0.808	10500.0
56	222.572	51.193	31.505	42.819	0.293	0.81	13000.0
57	222.035	51.452	31.608	42.963	0.298	0.809	11000.0
58	224.96	52.23	32.427	44.143	0.299	0.8	12000.0
59	222.492	51.387	31.633	42.966	0.294	0.81	17500.0
60	228.342	52.844	32.842	44.504	0.302	0.796	13000.0
61	221.572	51.439	31.554	43.125	0.296	0.806	17000.0
62	222.775	51.38	31.8	42.942	0.296	0.81	11500.0
63	226.058	52.296	32.402	43.981	0.298	0.798	8000.0
64	223.27	51.405	31.782	43.014	0.296	0.81	16000.0
65	221.247	51.431	31.598	43.145	0.297	0.807	11500.0
66	220.555	50.741	31.31	42.483	0.291	0.813	9500.0
67	228.044	52.644	32.807	44.363	0.301	0.797	11000.0
68	221.327	51.261	31.629	42.972	0.295	0.81	9500.0
69	227.445	52.348	32.565	44.06	0.298	0.801	10500.0
70	222.953	51.546	31.86	43.082	0.299	0.807	12500.0
71	222.348	51.544	31.767	43.148	0.298	0.806	12500.0
72	224.136	51.388	32.026	43.186	0.295	0.807	11500.0
73	221.801	51.339	31.435	42.782	0.296	0.811	7500.0
74	225.097	52.195	32.368	43.934	0.298	0.801	11500.0
75	222.254	51.448	31.641	43.067	0.296	0.809	12000.0
76	225.596	51.796	32.395	43.659	0.292	0.803	13000.0
77	222.422	51.39	31.673	43.079	0.297	0.808	0.0
78	222.871	51.417	31.817	43.174	0.296	0.807	12000.0
79	227.854	52.68	32.801	44.447	0.302	0.795	13500.0
80	225.74	52.037	32.17	43.776	0.3	0.802	0.0
81	222.934	51.49	31.837	43.055	0.296	0.81	12500.0
82	228.28	52.753	32.792	44.449	0.303	0.796	8500.0
83	223.879	51.443	31.638	42.903	0.296	0.809	9000.0
84	222.577	51.259	31.617	42.894	0.294	0.809	7500.0
85	225.362	52.302	32.589	44.389	0.299	0.797	12500.0
86	223.812	51.467	31.746	43.273	0.297	0.805	10500.0
87	221.436	51.314	31.575	43.035	0.295	0.808	0.0
88	222.219	51.338	31.628	43.065	0.294	0.808	11000.0
89	222.322	50.989	31.548	42.793	0.289	0.812	0.0
90	222.905	51.462	31.83	43.081	0.296	0.808	10500.0
91	222.442	51.035	31.546	42.636	0.29	0.814	8500.0
92	221.374	51.264	31.368	42.776	0.295	0.809	7000.0
93	222.545	51.133	31.499	42.949	0.29	0.81	8500.0
94	226.937	52.374	32.771	44.38	0.297	0.796	8500.0
95	221.496	51.331	31.605	43.054	0.292	0.809	9000.0
96	224.199	51.56	31.861	43.334	0.297	0.806	10000.0
97	225.069	52.262	32.33	44.011	0.3	0.8	17500.0
98	223.921	51.923	32.098	43.73	0.296	0.803	0.0
99	225.374	51.85	32.303	43.675	0.295	0.803	14500.0
100	222.552	51.302	31.522	42.988	0.295	0.809	14000.0
