Samples	SBS1	SBS2	SBS4	SBS5	SBS13	SBS26	SBS43	SBS58
CRUK0001_SU_T1-R1	16	0	0	182	0	0	102	0
CRUK0001_SU_T1-R2	24	0	0	137	0	0	78	0
CRUK0001_SU_T1-R3	6	34	0	178	42	0	0	0
CRUK0002_SU_T1-R1	9	0	0	159	0	0	0	182
CRUK0002_SU_T1-R2	13	0	0	184	0	0	0	158
CRUK0002_SU_T1-R3	4	0	0	48	0	0	72	89
CRUK0003_SU_T1-R1	58	0	0	503	0	101	0	0
CRUK0003_SU_T1-R2	13	0	0	188	0	0	118	0
CRUK0003_SU_T1-R3	24	0	0	174	0	0	138	0
CRUK0003_SU_T1-R4	31	0	0	431	0	0	0	0
CRUK0003_SU_T1-R6	18	0	0	167	0	0	119	0
CRUK0004_SU_T1-R1	5	0	0	199	0	0	109	0
CRUK0004_SU_T1-R2	11	0	0	64	0	32	0	0
CRUK0004_SU_T1-R3	27	0	0	234	0	0	38	0
CRUK0004_SU_T1-R4	15	0	0	145	0	0	26	0
CRUK0005_SU_T1-R1	2	0	50	160	0	0	0	0
CRUK0005_SU_T1-R2	12	0	88	272	0	0	0	0
CRUK0005_SU_T1-R3	2	0	100	188	0	0	0	0
CRUK0005_SU_T1-R4	12	0	81	283	0	0	0	0
CRUK0006_SU_T1-R1	5	54	0	262	85	0	0	0
CRUK0006_SU_T1-R2	0	58	0	312	83	0	0	0
CRUK0007_SU_T1-R1	9	0	0	54	0	0	0	21
CRUK0007_SU_T1-R2	2	0	0	152	0	0	0	98
CRUK0008_SU_T1-R1	16	0	0	267	0	0	0	0
CRUK0008_SU_T1-R2	18	34	0	264	32	0	0	0
CRUK0009_SU_T1-R1	455	0	0	3169	0	736	0	0
CRUK0009_SU_T1-R2	154	0	0	1294	0	278	0	0
CRUK0009_SU_T1-R3	25	0	0	568	0	0	0	0
CRUK0009_SU_T1-R4	138	0	0	1478	0	0	0	0
CRUK0010_SU_T1-R1	163	0	0	2047	0	397	0	0
CRUK0010_SU_T1-R2	63	0	0	833	0	0	168	0
CRUK0011_SU_T1-R1	0	0	100	183	0	0	0	0
CRUK0011_SU_T1-R2	0	0	95	141	0	0	0	82
CRUK0011_SU_T1-R3	28	0	0	311	0	0	0	90
CRUK0012_SU_T1-R1	39	0	0	270	0	79	0	0
CRUK0012_SU_T1-R2	5	0	0	126	0	0	0	0
CRUK0013_SU_T1-R1	77	0	0	662	0	0	75	0
CRUK0013_SU_T1-R2	51	0	0	470	0	0	73	0
CRUK0013_SU_T1-R3	312	0	0	1857	0	348	0	0
CRUK0014_SU_T1-R1	7	0	0	220	0	0	0	0
CRUK0014_SU_T1-R2	17	0	0	47	0	0	61	27
CRUK0015_SU_T1-R1	24	0	0	317	0	76	0	0
CRUK0015_SU_T1-R2	15	0	0	139	0	58	0	0
CRUK0016_SU_T1-R1	126	0	0	1377	0	407	0	0
CRUK0016_SU_T1-R2	0	132	0	449	298	0	0	0
CRUK0017_SU_T1-R1	41	0	0	319	0	75	0	0
CRUK0017_SU_T1-R2	10	19	98	149	17	0	0	0
CRUK0017_SU_T1-R3	5	0	174	215	0	0	0	81
CRUK0017_SU_T1-R4	20	36	156	128	31	0	105	0
CRUK0018_SU_T1-R1	0	0	0	279	0	0	155	0
CRUK0018_SU_T1-R2	35	0	0	547	0	123	0	0
CRUK0018_SU_T1-R3	0	0	97	148	0	0	34	0
CRUK0018_SU_T1-R4	0	0	122	181	0	0	0	0
CRUK0019_SU_T1-R1	33	0	0	258	0	0	0	133
CRUK0019_SU_T1-R2	277	0	0	1741	0	567	0	0
CRUK0020_SU_T1-R1	0	227	467	400	47	0	0	0
CRUK0020_SU_T1-R2	0	0	294	280	0	0	0	0
CRUK0021_SU_T1-R1	1	0	0	127	0	0	0	0
CRUK0021_SU_T1-R2	5	0	0	195	0	0	31	0
CRUK0022_SU_T1-R1	64	0	0	835	0	0	0	0
CRUK0022_SU_T1-R2	19	0	0	137	0	0	72	94
CRUK0023_SU_T1-R1	10	0	0	192	0	0	0	0
CRUK0023_SU_T1-R2	18	0	0	284	0	0	0	0
CRUK0023_SU_T1-R3	8	0	0	293	0	0	0	0
CRUK0023_SU_T1-R4	14	0	0	89	0	0	0	0
CRUK0024_SU_T1-R1	23	0	170	162	0	0	0	0
CRUK0024_SU_T1-R2	1	0	0	35	0	0	0	0
CRUK0024_SU_T1-R3	42	0	0	842	0	0	0	0
CRUK0024_SU_T1-R4	27	0	186	400	0	0	0	0
CRUK0024_SU_T1-R6	18	0	152	514	0	0	0	0
CRUK0025_SU_T1-R1	138	0	0	1238	0	271	0	0
CRUK0025_SU_T1-R2	251	0	0	2175	0	620	0	0
CRUK0025_SU_T1-R3	119	0	0	865	0	251	0	0
CRUK0026_SU_T1-R1	4	0	0	197	0	0	0	0
CRUK0026_SU_T1-R2	19	0	0	265	0	0	128	0
CRUK0027_SU_T1-R1	4	0	0	12	0	0	29	0
CRUK0027_SU_T1-R2	0	27	144	120	41	0	0	0
CRUK0027_SU_T1-R3	0	0	0	27	0	0	0	0
CRUK0028_SU_T1-R1	31	0	0	143	0	54	53	0
CRUK0028_SU_T1-R2	22	0	0	206	0	0	0	0
CRUK0029_SU_T1-R1	5	0	0	67	0	36	18	0
CRUK0029_SU_T1-R2	9	0	0	243	0	0	38	0
CRUK0029_SU_T1-R4	70	0	0	820	0	233	0	0
CRUK0029_SU_T1-R5	16	0	0	186	0	76	0	0
CRUK0029_SU_T1-R6	48	0	0	801	0	176	0	0
CRUK0029_SU_T1-R7	2	0	0	107	0	0	75	41
CRUK0029_SU_T1-R8	78	0	0	470	0	151	0	0
CRUK0030_SU_T2-R1	0	0	0	47	0	0	70	123
CRUK0030_SU_T2-R2	13	0	0	218	0	0	34	0
CRUK0030_SU_T2-R3	20	0	0	242	0	0	98	0
CRUK0031_SU_T1-R1	187	0	0	1578	0	290	0	0
CRUK0031_SU_T1-R2	67	0	0	1223	0	0	0	0
CRUK0031_SU_T1-R3	99	0	0	1571	0	0	246	0
CRUK0032_SU_T1-R1	4	0	0	48	0	0	152	49
CRUK0032_SU_T1-R2	13	0	0	542	0	0	0	0
CRUK0032_SU_T1-R3	28	0	0	272	0	0	144	0
CRUK0032_SU_T1-R4	3	0	139	413	0	0	0	0
CRUK0033_SU_T1-R1	32	0	0	304	0	80	0	0
CRUK0033_SU_T1-R2	42	0	0	391	0	0	135	0
CRUK0034_SU_T1-R1	5	0	0	115	0	0	94	0
CRUK0034_SU_T1-R2	18	0	226	312	0	0	0	0
CRUK0034_SU_T1-R3	26	0	0	461	0	0	0	0
CRUK0035_SU_T1-R1	8	0	0	85	0	0	30	0
CRUK0035_SU_T1-R2	0	0	0	78	0	0	100	0
CRUK0035_SU_T1-R3	4	0	0	164	0	0	0	0
CRUK0036_SU_T1-R1	0	0	0	143	0	0	0	0
CRUK0036_SU_T1-R2	23	0	0	443	0	0	0	121
CRUK0036_SU_T1-R3	14	0	0	200	0	61	0	0
CRUK0036_SU_T1-R4	9	0	0	191	0	0	0	0
CRUK0037_SU_T1-R1	25	0	0	727	0	0	0	0
CRUK0037_SU_T1-R2	24	0	104	306	0	0	0	0
CRUK0037_SU_T1-R3	39	0	0	298	0	70	0	0
CRUK0037_SU_T1-R4	29	0	0	363	0	0	0	89
CRUK0037_SU_T1-R5	43	0	0	594	0	0	0	0
CRUK0038_SU_T1-R1	6	0	0	41	0	0	155	106
CRUK0038_SU_T1-R2	11	0	0	107	0	0	141	0
CRUK0039_SU_T1-R1	6	53	202	233	79	0	0	0
CRUK0039_SU_T1-R2	3	30	215	296	55	0	0	0
CRUK0039_SU_T1-R3	20	42	177	296	54	0	0	0
CRUK0040_SU_T1-R1	5	0	0	137	0	0	0	0
CRUK0040_SU_T1-R2	6	0	0	163	0	0	0	50
CRUK0041_SU_T1-R1	52	0	0	664	0	0	0	0
CRUK0041_SU_T1-R2	25	0	0	520	0	0	110	0
CRUK0041_SU_T1-R3	79	0	0	842	0	168	0	0
CRUK0041_SU_T1-R4	16	0	0	120	0	57	63	0
CRUK0042_SU_T1-R1	1	0	0	109	0	0	0	0
CRUK0042_SU_T1-R2	2	0	0	36	0	0	0	0
CRUK0043_SU_T1-R1	33	0	0	241	0	0	135	90
CRUK0043_SU_T1-R2	12	0	0	369	0	0	122	187
CRUK0044_SU_T1-R1	3	0	97	43	0	0	30	0
CRUK0044_SU_T1-R2	3	0	0	11	0	0	0	0
CRUK0045_SU_T1-R1	6	0	0	44	0	0	47	0
CRUK0045_SU_T1-R2	14	0	0	46	0	0	76	0
CRUK0045_SU_T1-R3	3	0	0	81	0	0	0	27
CRUK0046_SU_T1-R1	47	0	0	505	0	0	0	0
CRUK0046_SU_T1-R2	4	0	0	236	0	0	0	0
CRUK0046_SU_T1-R3	19	0	0	360	0	0	0	0
CRUK0046_SU_T1-R4	16	0	0	287	0	0	0	72
CRUK0047_SU_T1-R1	11	0	0	181	0	43	0	0
CRUK0047_SU_T1-R2	45	0	0	287	0	96	70	100
CRUK0048_SU_T1-R1	5	0	0	65	0	0	202	0
CRUK0048_SU_T1-R2	81	0	0	769	0	231	0	0
CRUK0048_SU_T1-R3	45	0	0	519	0	0	277	0
CRUK0049_SU_T1-R1	3	0	239	117	0	0	89	252
CRUK0049_SU_T1-R2	6	0	217	208	0	0	0	230
CRUK0050_SU_T1-R1	17	0	0	173	0	0	31	0
CRUK0050_SU_T1-R2	3	0	0	191	0	57	0	0
CRUK0050_SU_T1-R3	8	0	0	153	0	0	33	0
CRUK0050_SU_T1-R4	1	0	0	52	0	0	0	0
CRUK0050_SU_T1-R5	7	0	0	189	0	0	42	0
CRUK0051_SU_T1-R2	0	0	96	273	0	0	0	0
CRUK0051_SU_T1-R3	42	0	0	736	0	0	0	0
CRUK0051_SU_T1-R4	10	0	112	141	0	0	46	0
CRUK0052_SU_T1-R1	12	0	235	462	0	0	0	0
CRUK0052_SU_T1-R2	0	0	70	119	0	0	0	71
CRUK0052_SU_T1-R3	9	0	0	0	0	0	107	76
CRUK0052_SU_T1-R4	7	32	212	170	50	0	0	0
CRUK0053_SU_T1-R1	68	0	414	1270	0	0	0	0
CRUK0053_SU_T1-R2	115	0	0	2014	0	380	0	0
CRUK0054_SU_T1-R1	2	0	0	207	0	0	0	67
CRUK0054_SU_T1-R2	36	0	0	318	0	79	0	0
