Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0001_SU_T1-R1	300	0.833	198.546	66.182%	31.878	55.425%	0.38389	0.758
CRUK0001_SU_T1-R2	239	0.824	165.176	69.111%	23.923	57.105%	0.40648	0.722
CRUK0001_SU_T1-R3	260	0.901	131.445	50.556%	19.155	43.968%	0.31952	0.841
CRUK0002_SU_T1-R1	350	0.867	191.781	54.795%	31.287	49.997%	0.26598	0.795
CRUK0002_SU_T1-R2	355	0.84	193.355	54.466%	33.403	54.583%	0.26549	0.743
CRUK0002_SU_T1-R3	213	0.887	138.631	65.085%	20.664	46.616%	0.4074	0.851
CRUK0003_SU_T1-R1	662	0.96	202.877	30.646%	27.941	27.919%	0.09582	0.926
CRUK0003_SU_T1-R2	319	0.884	178.544	55.97%	28.65	47.222%	0.30321	0.835
CRUK0003_SU_T1-R3	336	0.888	202.97	60.408%	31.1	46.392%	0.33331	0.846
CRUK0003_SU_T1-R4	462	0.932	182.65	39.535%	24.934	36.534%	0.17699	0.867
CRUK0003_SU_T1-R6	304	0.876	185.406	60.989%	27.181	48.246%	0.34646	0.816
CRUK0004_SU_T1-R1	313	0.866	174.877	55.871%	25.827	50.124%	0.29535	0.773
CRUK0004_SU_T1-R2	107	0.824	78.643	73.498%	10.379	57.572%	0.51262	0.709
CRUK0004_SU_T1-R3	299	0.894	145.745	48.744%	19.992	45.59%	0.2051	0.789
CRUK0004_SU_T1-R4	186	0.861	106.519	57.268%	14.527	51.297%	0.34913	0.734
CRUK0005_SU_T1-R1	212	0.844	124.968	58.947%	17.129	53.633%	0.31613	0.684
CRUK0005_SU_T1-R2	372	0.892	160.389	43.115%	22.722	46.075%	0.17447	0.729
CRUK0005_SU_T1-R3	290	0.89	132.797	45.792%	18.184	46.128%	0.1908	0.733
CRUK0005_SU_T1-R4	376	0.902	161.356	42.914%	22.23	43.53%	0.17013	0.764
CRUK0006_SU_T1-R1	406	0.949	149.546	36.834%	22.225	32.343%	0.14643	0.92
