Samples	SBS96A	SBS96B	SBS96C	SBS96D
CRUK0001_SU_T1-R1	154	7	8	131
CRUK0001_SU_T1-R2	144	4	2	89
CRUK0001_SU_T1-R3	69	38	153	0
CRUK0002_SU_T1-R1	106	61	134	49
CRUK0002_SU_T1-R2	141	66	115	33
CRUK0002_SU_T1-R3	48	1	58	106
CRUK0003_SU_T1-R1	542	78	17	25
CRUK0003_SU_T1-R2	164	0	0	155
CRUK0003_SU_T1-R3	169	0	0	167
CRUK0003_SU_T1-R4	349	28	49	36
CRUK0003_SU_T1-R6	121	39	0	144
CRUK0004_SU_T1-R1	134	35	18	126
CRUK0004_SU_T1-R2	75	18	0	14
CRUK0004_SU_T1-R3	203	40	17	39
CRUK0004_SU_T1-R4	118	36	6	26
CRUK0005_SU_T1-R1	82	84	24	22
CRUK0005_SU_T1-R2	161	157	30	24
CRUK0005_SU_T1-R3	106	161	10	13
CRUK0005_SU_T1-R4	176	144	36	20
CRUK0006_SU_T1-R1	97	25	277	7
CRUK0006_SU_T1-R2	104	75	274	0
CRUK0007_SU_T1-R1	60	0	17	7
CRUK0007_SU_T1-R2	100	56	84	12
CRUK0008_SU_T1-R1	190	32	18	43
CRUK0008_SU_T1-R2	163	36	122	27
CRUK0009_SU_T1-R1	3776	190	302	92
CRUK0009_SU_T1-R2	1474	92	120	40
CRUK0009_SU_T1-R3	365	98	121	9
CRUK0009_SU_T1-R4	1260	122	206	28
CRUK0010_SU_T1-R1	1974	263	294	76
CRUK0010_SU_T1-R2	699	67	106	192
CRUK0011_SU_T1-R1	76	165	31	11
CRUK0011_SU_T1-R2	83	158	62	15
CRUK0011_SU_T1-R3	260	54	69	46
CRUK0012_SU_T1-R1	308	34	44	2
CRUK0012_SU_T1-R2	108	0	23	0
CRUK0013_SU_T1-R1	546	131	53	84
CRUK0013_SU_T1-R2	393	79	41	81
CRUK0013_SU_T1-R3	2159	207	104	47
CRUK0014_SU_T1-R1	141	39	29	18
CRUK0014_SU_T1-R2	62	6	13	71
CRUK0015_SU_T1-R1	262	90	31	34
CRUK0015_SU_T1-R2	156	29	7	20
CRUK0016_SU_T1-R1	1468	134	129	179
CRUK0016_SU_T1-R2	0	0	879	0
CRUK0017_SU_T1-R1	366	51	15	3
CRUK0017_SU_T1-R2	65	139	71	18
CRUK0017_SU_T1-R3	88	252	113	22
CRUK0017_SU_T1-R4	60	204	119	93
CRUK0018_SU_T1-R1	89	139	29	177
CRUK0018_SU_T1-R2	454	136	48	67
CRUK0018_SU_T1-R3	59	156	28	36
CRUK0018_SU_T1-R4	56	167	51	29
CRUK0019_SU_T1-R1	216	60	96	52
CRUK0019_SU_T1-R2	2095	79	196	215
CRUK0020_SU_T1-R1	0	550	591	0
