Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0001_SU_T1-R1	2633	0.969	689.221	26.176%	96.723	25.33%	0.0945	0.939
CRUK0001_SU_T1-R2	2830	0.973	704.124	24.881%	99.605	23.228%	0.07996	0.952
CRUK0001_SU_T1-R3	9042	0.98	1769.287	19.567%	265.949	20.319%	0.0365	0.962
CRUK0002_SU_T1-R1	4957	0.978	1054.933	21.282%	150.863	21.318%	0.04127	0.955
CRUK0002_SU_T1-R2	4966	0.973	1191.604	23.995%	173.757	23.974%	0.0575	0.95
CRUK0002_SU_T1-R3	1043	0.941	345.241	33.101%	48.996	33.884%	0.1086	0.867
CRUK0003_SU_T1-R1	12639	0.973	2926.943	23.158%	437.237	23.629%	0.04776	0.951
CRUK0003_SU_T1-R2	2535	0.974	590.425	23.291%	81.077	22.745%	0.06134	0.944
CRUK0003_SU_T1-R3	11936	0.978	2326.77	19.494%	365.26	21.69%	0.05055	0.955
CRUK0003_SU_T1-R4	13844	0.986	2362.547	17.065%	333.435	16.921%	0.02811	0.972
CRUK0003_SU_T1-R6	10280	0.978	2103.127	20.458%	305.565	21.451%	0.05137	0.955
CRUK0004_SU_T1-R1	8439	0.976	1819.975	21.566%	265.827	22.589%	0.04765	0.951
CRUK0004_SU_T1-R2	5652	0.98	1170.29	20.706%	164.332	20.43%	0.04102	0.961
CRUK0004_SU_T1-R3	8288	0.981	1675.618	20.217%	230.097	19.941%	0.0378	0.962
CRUK0004_SU_T1-R4	5074	0.977	1166.709	22.994%	159.862	22.317%	0.04984	0.956
CRUK0005_SU_T1-R1	11092	0.984	1970.133	17.762%	285.678	18.499%	0.03246	0.968
CRUK0005_SU_T1-R2	7740	0.971	1833.647	23.691%	264.798	25.136%	0.05101	0.94
CRUK0005_SU_T1-R3	9849	0.983	1879.536	19.084%	257.067	18.995%	0.03542	0.965
CRUK0005_SU_T1-R4	9309	0.98	1863.566	20.019%	265.554	20.702%	0.03839	0.96
CRUK0006_SU_T1-R1	5215	0.97	1269.439	24.342%	184.207	24.633%	0.05928	0.939
CRUK0006_SU_T1-R2	4532	0.968	1166.497	25.739%	161.548	25.495%	0.06001	0.934
CRUK0007_SU_T1-R1	10397	0.976	2346.818	22.572%	360.039	23.288%	0.05184	0.958
CRUK0007_SU_T1-R2	14960	0.983	2933.196	19.607%	402.158	18.761%	0.03616	0.965
CRUK0008_SU_T1-R1	2941	0.966	722.205	24.556%	106.931	27.415%	0.05581	0.928
CRUK0008_SU_T1-R2	4305	0.942	1326.84	30.821%	202.227	34.602%	0.07697	0.87
CRUK0009_SU_T1-R1	8048	0.972	2033.615	25.269%	291.167	23.823%	0.0592	0.949
CRUK0009_SU_T1-R2	4523	0.97	1128.267	24.945%	165.448	24.558%	0.05562	0.943
CRUK0009_SU_T1-R3	7637	0.986	1382.848	18.107%	192.51	17.062%	0.03486	0.974
CRUK0009_SU_T1-R4	13189	0.984	2514.817	19.068%	357.097	18.62%	0.03977	0.97
CRUK0010_SU_T1-R1	7850	0.989	1267.072	16.141%	167.038	15.151%	0.02881	0.976
CRUK0010_SU_T1-R2	5812	0.981	1077.083	18.532%	165.53	19.561%	0.04681	0.964
CRUK0011_SU_T1-R1	8374	0.982	1688.351	20.162%	232.33	19.798%	0.0472	0.966
CRUK0011_SU_T1-R2	9184	0.963	2575.13	28.039%	371.271	28.564%	0.06838	0.931
CRUK0011_SU_T1-R3	6332	0.978	1411.129	22.286%	194.924	21.36%	0.04995	0.959
CRUK0012_SU_T1-R1	5358	0.978	1175.971	21.948%	171.689	21.517%	0.04888	0.96
CRUK0012_SU_T1-R2	6312	0.98	1408.134	22.309%	203.416	21.305%	0.05622	0.968
CRUK0013_SU_T1-R1	3839	0.952	1215.011	31.649%	181.709	33.05%	0.12104	0.914
CRUK0013_SU_T1-R2	3504	0.954	1060.258	30.259%	154.306	30.653%	0.09092	0.911
CRUK0013_SU_T1-R3	7528	0.98	1769.796	23.51%	242.739	21.016%	0.06402	0.966
CRUK0014_SU_T1-R1	6488	0.979	1464.605	22.574%	203.229	21.706%	0.04798	0.961
CRUK0014_SU_T1-R2	2041	0.971	530.725	26.003%	72.568	24.294%	0.07808	0.946
CRUK0015_SU_T1-R1	5435	0.971	1261.073	23.203%	179.964	24.069%	0.04299	0.935
CRUK0015_SU_T1-R2	5543	0.967	1444.475	26.059%	198.227	25.957%	0.05934	0.927
CRUK0016_SU_T1-R1	11112	0.963	2777.237	24.993%	439.65	27.66%	0.07244	0.928
CRUK0016_SU_T1-R2	8057	0.976	1771.876	21.992%	251.1	22.55%	0.04331	0.95
CRUK0017_SU_T1-R1	7435	0.965	1865.835	25.095%	292.271	27.227%	0.05839	0.933
CRUK0017_SU_T1-R2	4650	0.98	843.391	18.137%	124.371	20.114%	0.03038	0.953
CRUK0017_SU_T1-R3	10439	0.982	1999.817	19.157%	281.413	19.898%	0.03542	0.961
CRUK0017_SU_T1-R4	8224	0.977	1654.829	20.122%	238.914	21.83%	0.03814	0.946
CRUK0018_SU_T1-R1	8224	0.969	2030.482	24.69%	290.27	25.902%	0.06517	0.938
CRUK0018_SU_T1-R2	5230	0.974	1181.448	22.59%	173.434	24.261%	0.05189	0.948
CRUK0018_SU_T1-R3	6726	0.981	1364.945	20.294%	186.642	20.138%	0.04505	0.962
CRUK0018_SU_T1-R4	6532	0.974	1464.074	22.414%	215.923	24.064%	0.0488	0.948
CRUK0019_SU_T1-R1	6230	0.98	1335.488	21.436%	188.028	20.381%	0.04676	0.965
CRUK0019_SU_T1-R2	6131	0.964	1624.852	26.502%	250.088	27.15%	0.06896	0.935
CRUK0020_SU_T1-R1	9121	0.986	1572.265	17.238%	212.278	17.333%	0.03278	0.969
CRUK0020_SU_T1-R2	3921	0.976	790.254	20.154%	110.586	22.048%	0.04128	0.933
CRUK0021_SU_T1-R1	1347	0.969	370.703	27.521%	48.378	24.933%	0.09175	0.938
CRUK0021_SU_T1-R2	2862	0.979	597.394	20.873%	82.489	20.145%	0.04611	0.958
CRUK0022_SU_T1-R1	4342	0.973	1088.216	25.063%	153.712	24.043%	0.06143	0.951
CRUK0022_SU_T1-R2	5258	0.98	1152.312	21.915%	155.782	20.368%	0.05493	0.962
CRUK0023_SU_T1-R1	9516	0.963	2341.261	24.603%	382.582	28.005%	0.05457	0.928
CRUK0023_SU_T1-R2	3005	0.973	714.188	23.767%	97.816	23.29%	0.05656	0.943
CRUK0023_SU_T1-R3	8243	0.983	1605.995	19.483%	222.207	18.913%	0.03905	0.967
CRUK0023_SU_T1-R4	6524	0.982	1274.154	19.53%	184.809	19.246%	0.0381	0.966
CRUK0024_SU_T1-R1	9229	0.95	2799.05	30.329%	370.817	31.358%	0.08008	0.862
CRUK0024_SU_T1-R2	3884	0.965	1021.484	26.3%	153.145	26.737%	0.06435	0.934
CRUK0024_SU_T1-R3	9490	0.961	2619.724	27.605%	347.673	27.967%	0.06721	0.9
CRUK0024_SU_T1-R4	8272	0.961	2270.952	27.453%	294.783	27.734%	0.06105	0.895
CRUK0024_SU_T1-R6	8126	0.956	2341.967	28.821%	310.508	29.525%	0.07267	0.883
CRUK0025_SU_T1-R1	7287	0.964	2012.8	27.622%	288.363	27.518%	0.0665	0.93
CRUK0025_SU_T1-R2	10668	0.971	2567.196	24.064%	375.707	24.74%	0.0532	0.944
CRUK0025_SU_T1-R3	3316	0.975	786.488	23.718%	114.008	23.115%	0.05723	0.954
CRUK0026_SU_T1-R1	7214	0.96	1972.902	27.348%	277.086	29.35%	0.06516	0.908
CRUK0026_SU_T1-R2	5440	0.963	1421.058	26.122%	213.544	28.291%	0.06629	0.927
CRUK0027_SU_T1-R1	1128	0.958	359.238	31.847%	50.1	29.293%	0.10868	0.924
CRUK0027_SU_T1-R2	3552	0.977	699.603	19.696%	100.1	21.537%	0.03567	0.941
CRUK0027_SU_T1-R3	2556	0.978	575.241	22.506%	78.244	21.002%	0.04949	0.959
CRUK0028_SU_T1-R1	4306	0.98	903.942	20.993%	126.077	20.332%	0.04957	0.96
CRUK0028_SU_T1-R2	6209	0.983	1195.083	19.248%	162.643	18.453%	0.03734	0.967
CRUK0029_SU_T1-R1	1963	0.953	564.451	28.755%	81.286	30.663%	0.08832	0.892
CRUK0029_SU_T1-R2	1962	0.968	519.18	26.462%	69.391	25.74%	0.06913	0.931
CRUK0029_SU_T1-R4	3612	0.966	963.874	26.685%	135.209	27.234%	0.06106	0.931
CRUK0029_SU_T1-R5	3080	0.962	924.903	30.029%	125.69	27.83%	0.07804	0.926
CRUK0029_SU_T1-R6	4600	0.965	1156.193	25.135%	171.654	26.824%	0.05915	0.928
CRUK0029_SU_T1-R7	2766	0.973	638.33	23.078%	89.938	23.728%	0.06236	0.941
CRUK0029_SU_T1-R8	4537	0.982	910.079	20.059%	125.947	18.984%	0.04452	0.966
CRUK0030_SU_T2-R1	3800	0.956	1075.362	28.299%	158.061	30.901%	0.07549	0.905
CRUK0030_SU_T2-R2	2753	0.976	624.996	22.702%	86.243	21.928%	0.05582	0.953
CRUK0030_SU_T2-R3	3454	0.957	982.68	28.45%	150.706	29.666%	0.08318	0.919
CRUK0031_SU_T1-R1	17332	0.986	2957.342	17.063%	424.406	17.46%	0.03136	0.971
