,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
CRUK0001_SU_T1-R1,0.0458254866950491,0.00785466301112194,0,0.0105189445927485,0,0.121357501947179,0.0169192134980078,0,0,0.00777018848388379,0,0,0.00081953779407629,0,0,0,0,0.0495569783255708,0,0,0,0.0234331610427884,0.0155876605913286,0,0,0.0436283572421284,0.00358169519845113,0,0,0,0,0.00391041346033154,0,0.0225071934612173,0,0.00268306310275607,0,0,0.0559385295462671,0.0362267007418897,0.00714606123101509,0,0,0,0,0,0.121426227634163,0,0,0,0,0,0.0705553146397408,0,0,0.0855514436270851,0,0,0,0,0,0,0,0.122284133830986,0.000385023047648327,0,0.00053991105886939,0,0.00106642533609678,0.000295769587968156,0,0,0,0.106433535121296,0.00928333725995182,0,0,0,0,0,0.00593628218382729,0,0,0,0.0009772467065567,0
CRUK0001_SU_T1-R2,0.0727815503356442,0,0,0,0,0.0961200088875481,0.0191744337799905,0.00544413692661357,0,0,0,0,0,0,0,0,0.0233542042982536,0,0.00371427224740853,0,0,0,0,0.0020271011021955,0,0.00131840567862523,0,0,0,0,0,0.0151227438718394,0,0.0509696156984655,0,0,0,0,0.0858081047996807,0.0742406990174333,0,0,0.00508340033955717,0,0.0104444900418707,0,0.069283681158108,0,0,0,0,0,0.0478623898043559,0,0,0.0803379243393327,0,0.00123579768857989,0,0.00384356907324838,0,0,0.0105415877558631,0.128953462476115,0,0,0,0,0,0,0,0,0.0155419658347578,0.138228271715637,0.024741670452861,0,0,0,0,0,0,0,0,0.013826512676015,0,0
CRUK0001_SU_T1-R3,0.0256456583644905,0.0134437534773845,-0.0259874686545422,0,0,0.164679147718843,0.0112381962569702,0.0349374158514146,0,0,0,0,0,0.00943494240004351,0,0,0,0,0.00689284580609227,0,0,0,0,0.000100905909510094,0,0,0,0.014075533180543,0,0,0,0.0225157387223028,0,0.0227304581860905,0,0,0,0,0.0612732829987383,0.0427346353951682,0.0093897151625068,0,0,0,0.0119922635329293,0,0.131364081164662,0,0,0,0,0,0.021120922039313,0,0,0.0756376804128321,0,0.00167080896965077,0,0.0137111087835393,0,0,0.00449414528326553,0.147750484745745,0,0,0,0.00324245940644336,0.00226842110567629,0,0,0,0.000548999893224223,0.0903131324217139,0.0255868869709873,0.00421652131606017,0,0,0,0,0.0383328499101794,0,0,0.0255163773118087,-0.0108719040435868,0
CRUK0002_SU_T1-R1,0.016703882080156,0.00529470989660259,0,0.00649506567012817,0,0.101488652028173,0,0.0456820451325389,0,0,0,0,0,0.00189943472238052,0,0,0,0,0,0,0.0340244666300855,0,0.00676826423687974,0.00246328774677884,0,0.00575705745440138,0,0.0105050165953403,0.00149309092408785,0,0,0.027076276430872,0,0.0298294229471542,0,0.00103454585223209,0,0,0.0423262087642319,0.0296284630066489,0,0,0,0,0.0243465790160689,0,0.0573103326036364,0,0,0,0,0,0.0156436852805906,0,0,0.0630671257834644,0,0.00105252914007155,0,0.0439225962217171,0.0199996506184098,0,0,0.136539834053056,0.00226200438126409,0,0,0.0403811096771926,0,0,0,0,0.0211052512174665,0.152919806041461,0.0142429889174268,0,0,0,0,0,0.0221256416473669,0,0,0.0166109752821147,0,0
CRUK0002_SU_T1-R2,0.0254845613446944,0,0,0,0,0.122617587046604,0.0145599179481962,0.0409618072115661,0,0,0,0,0,0,0,0,0,0,0.00549429028912953,0,0.0192041644781334,0,0,0.00419700351738924,0,0.00187590546468864,0,0.0181709556014144,0,0,0,0.0326903007545188,0,0,0,0,0,0,0.0681527429681279,0.0397347254698121,0,0,0,0,0.0137624628454277,0,0.0555654340453686,0,0,0,0,0,0.0132762612155219,0,0,0.0951085470392367,0,0,0.000663743810159474,0.0219410387034607,0.0287124452915166,0,0,0.143315623349005,0,0,0,0.0499608446997009,0,0,0,0,0.0173051089048432,0.12683058310181,0.0215487866015007,0,0,0,0,0,0.00763273628834506,0,0,0.0112324220098281,0,0
CRUK0002_SU_T1-R3,0.038105861709268,0.0175719153155244,0,0,0,0.0662951065634109,0,0.00237937672769619,0,0,0,0,0,0.0136155432276095,0,0,0.00949802315394681,0.133120894866254,0.015013246407825,0,0,0.0133960272873172,0.0237222605589939,0,0,0.0212072316974354,0,0.0142060776160418,0,0,0.00869943540296112,0,0,0,0,0.00663285671278484,0,0,0.0665010705382776,0.0546708906057172,0,0,0,0,0.0172309949793112,0,0.107134911567776,0,0,0,0,0,0.055349580136774,0,0,0.0111820567123483,0,0,0,0,0.0198488400190616,0,0,0.0870400850667771,0.00409585242605067,0,0,0.0715340272617908,0,0.0298190749356807,0,0,0.0283109849502174,0.0593464923709479,0,0,0,0,0,0,0,0,0,0,0.00447128118220018,0
CRUK0003_SU_T1-R1,0.0568583802862067,0.00641250475387747,0,-0.0189035239630135,0.103885341581704,0.129167111163874,-0.000363908424998587,0.0324618776503101,0,0,0,0,0,0.00846916511735855,0,0,0,0.00161705358183671,0.00207689677340624,0,0,0.000361560253477909,0,0.00152137110074816,0,0,0,0.0143537086578263,0,0,0,0.0264224637370436,0,0,0,0,0,0,0.0577971532988103,0.0494354161587663,0.00119415533122008,0,0,0,0.047006864741048,0,0.100720528349159,0,0,0,0,0,0.0121658714295939,0,0,0.0660074589640098,0,0.000497845356406894,0,0.00590680484607467,0,0,-0.000397501830531957,0.142294202245387,0,0,0,0,-0.000113962609571893,0,0,0,0.00329385125447522,0.09465744918814,0.011053486590276,0,0,0,0,0,0.0316309008209323,0,0,0.0125094735961459,0,0
CRUK0003_SU_T1-R2,0.0575492495259831,0,0,0,0,0.0802882605477537,0.0155149412130546,0.025703271506272,0,0,0,0,0,0.0183814659350414,0,0,0,0.0794109442039348,0,0,0,0.0416498301099378,0.00904881590488865,0.000555052068016256,0,0.00200418854333885,0.00592578040982181,0,0,0,0,0.00649995898797425,0,0,0,0.0017796518491599,0,0,0.0309131380351904,0.0911219412850042,0.00913691919397124,0,0,0,0.00438315207298653,0,0.0934241401269738,0,0,0,0,0,0.0696022827636489,0,0,0.068224917533117,0,0.00169550031545948,0,0,-0.000538651953848693,0,0,0.105792077625801,0,0,0.00650041470973029,0,0.00309478928925405,0.0153207881803783,0,0,0,0.0568266551345839,0,0,0,0,0.00529462878121254,0,0,0,0.0601146290053222,0.0141773580859903,0.020603909010047,0
CRUK0003_SU_T1-R3,0.0293247475650844,0.00934530885870104,0,0.00206982780942554,0,0.141073766368452,0,0.051243644472745,0,0,0,0,0,0.00392011187490867,0,0,0.00207721848186144,0.0298829037946906,0.0020054250113821,0,0,0.000537858073694756,0,0.0019211318170181,0,0.000827099476037899,0,0,0,0,0,0.0249567689892826,0,0.0481710736459873,0,0.00100311173807133,0,0,0.0387969351878198,0.0495603871975191,0.00705552360065479,0,0,0,0,0,0.098335103192964,0,0,0,0,0,0.0577080987117173,0,0,0.07903022514524,0,0,0.00131866447227998,0,0.00929216021278229,0,0,0.130777373825892,0,0,0,0,0,0,0,0,0.01279330204997,0.0880613316237927,0.00966773666177523,0,0,0,0,0,0.0308101451770596,0,0.0184476152734148,0.00920103225157663,0.0107843674381996,0
CRUK0003_SU_T1-R4,0.0337276940017183,0.0099567382131181,0,0.0270670364510429,0,0.153728356060384,0,0.034194517833007,0,0,0,0,0,0.00500215051627344,0,0,0,0.0270465327566914,0.00419195761329881,0,0.00151576274267661,0.000188202405020983,0,0.00333858406320354,0,0,0,0.00385211630346254,0,0,0,0.0151026921652981,0,0.0144369026443781,0,0,0,0,0.0614394789683999,0.0544015344674655,0.00403863644086314,0.000864731245308683,0,0,0.0388381243419046,0,0.110196873253895,0,0,0,0.0067847549215151,0,0.0211386049176837,0,0,0.0721318588608436,0,0,0,0.00709991807757748,0,0,0.00172722163920945,0.145895699101278,0,0,0,0.00895053628624432,0,0,0,0,0.00743767089356478,0.0897571687958605,0.0168324038632116,0,0,0,0,-0.0106633683684011,0.0129163237144597,0,0.0029187956216869,0.0160250360523719,-0.00208124686451742,0
